XM_031968552.1	879-882	FS_INS	+1	No
XM_031968552.1	951-954	FS_DEL	-1	yes
XM_031968552.1	1278-1281	COMPENSATION	FS_3	4	yes
XM_031968552.1	1278-1281	FS_DEL	-1	No
XM_031968552.1	1371-1374	FS_INS	+1	yes
XM_031968552.1	1464-1467	FS_INS	+1	yes
XM_031968552.1	1491-1494	COMPENSATION	FS_6	7	yes
XM_031968552.1	1491-1494	FS_DEL	-1	No
XM_031968552.1	1549-1549	G	T	yes
XM_031968552.1	1905-1908	FS_INS	+1	yes
XM_031968552.1	1917-1920	COMPENSATION	FS_8	9	10	yes
XM_031968552.1	1917-1920	FS_INS	+2	No
XM_031968552.1	1944-1947	FS_INS	+2	No
XM_031968552.1	1959-1962	FS_INS	+2	yes
XM_031968552.1	1995-1998	FS_DEL	-1	yes
XM_031968552.1	2040-2043	FS_INS	+1	No
XM_031968552.1	2041-2041	G	T	yes
XM_031968552.1	2043-2046	FS_DEL	-1	No
XM_031968552.1	2094-2097	FS_DEL	-1	yes
XM_031968552.1	2142-2145	FS_DEL	-1	No
