XM_031968705.1	957-960	FS_INS	+1	No
XM_031968705.1	1149-1152	COMPENSATION	FS_2	3	4	5	6	yes
XM_031968705.1	1149-1152	FS_INS	+2	No
XM_031968705.1	1167-1170	FS_DEL	-1	No
XM_031968705.1	1185-1188	FS_INS	+1	No
XM_031968705.1	1227-1230	FS_DEL	-1	No
XM_031968705.1	1248-1251	FS_INS	+2	No
XM_031968705.1	1266-1269	FS_INS	+1	yes
XM_031968705.1	1267-1267	G	T	yes
XM_031968705.1	1269-1269	C	A	yes
XM_031968705.1	1329-1332	COMPENSATION	FS_8	9	yes
XM_031968705.1	1329-1332	FS_DEL	-1	yes
XM_031968705.1	1407-1410	FS_INS	+1	No
XM_031968705.1	1710-1713	FS_DEL	-2	No
