XM_031966918.1	PI
XM_031967422.1	I
XM_031968751.1	I
XM_023495780.2	I
XM_031948978.1	PI
XM_031939767.1	I
XM_031945746.1	UL
XM_031946374.1	I
XM_012543649.2	I
XM_031945747.1	I
XM_031943902.1	I
XM_031967592.1	I
XM_031946738.1	I
XM_012541970.3	I
XM_031945739.1	PI
XM_031945868.1	I
XM_031946990.1	I
XM_031949107.1	PI
XM_031967111.1	I
XM_031951936.1	PI
XM_031947114.1	I
XM_023498007.2	M
XM_031947889.1	I
XM_012542468.3	UL
XM_012543299.3	I
XM_012542316.3	I
XM_031963658.1	I
XM_031937683.1	I
XM_031949053.1	M
XM_012542027.3	I
XM_031947744.1	I
XM_003761721.4	I
XM_031963476.1	UL
XM_031939120.1	I
XM_031946719.1	I
XM_031948241.1	PI
XM_031945908.1	I
XM_023498547.2	I
NR_105702.1	L
XM_023497783.2	I
XM_031948354.1	I
XM_031945683.1	I
XM_012541806.3	I
XM_031959314.1	I
XM_031938382.1	M
XM_031937218.1	I
XM_003759402.4	I
XM_031947056.1	I
XM_023496001.2	I
XM_003759756.3	I
XM_031964179.1	UL
XM_031948536.1	M
XM_031961288.1	I
XM_031964133.1	I
XM_031946702.1	I
XM_031945880.1	I
XM_023498277.2	I
XM_031946075.1	I
XM_023497058.2	I
XM_031948352.1	M
XM_031962367.1	PI
XM_031943929.1	I
XM_031941666.1	I
XM_031946541.1	I
unassigned_transcript.90	I
XM_031948323.1	M
XM_031963238.1	I
XM_031948069.1	I
XM_031957209.1	I
XM_031937692.1	I
XM_031948104.1	M
XM_031954705.1	I
XM_003760340.4	I
XM_031959075.1	I
XM_031956133.1	I
XM_003760659.4	PI
XM_031948618.1	I
XM_003760588.2	I
XM_031947354.1	I
XM_031947865.1	I
XM_031958518.1	PI
XM_031951779.1	I
XM_031946337.1	I
XM_031945727.1	I
XM_031938484.1	I
XM_031938692.1	I
XM_023498087.2	I
XM_031947764.1	I
XM_031966806.1	UL
XM_003762114.3	M
XM_031962547.1	L
XM_031945756.1	I
XM_031947340.1	UL
XM_031946373.1	I
XM_031947960.1	I
XM_031946958.1	I
XM_031951840.1	M
XM_031946076.1	UL
XM_031944287.1	I
XM_031948016.1	PI
XM_031961156.1	I
XM_031938367.1	I
XM_031954905.1	I
XM_023497438.2	I
XM_003760248.4	PI
XM_012542449.3	I
XM_031951543.1	PI
XM_031948980.1	PI
XM_031948288.1	I
XM_031942760.1	I
XM_031959633.1	I
XM_031946717.1	I
XM_031937286.1	I
XM_031948449.1	PI
XM_031948270.1	I
XM_031960350.1	PI
XM_031958146.1	PI
XM_031965683.1	I
XM_031947998.1	I
XM_031959116.1	I
XM_031964829.1	I
XM_003759932.3	I
XM_031947381.1	PI
XM_031948421.1	M
XM_012541421.3	I
XM_031943537.1	I
XM_031946981.1	I
XM_031946353.1	PI
XM_031948528.1	PI
XM_031947557.1	I
XM_031946372.1	I
XM_031959207.1	UL
XM_031953162.1	I
XM_031948663.1	I
XM_031966595.1	M
XM_023496181.2	I
XM_012543040.2	I
XM_031958880.1	M
XM_003759347.3	I
XM_031937451.1	UL
XM_023496127.2	I
XM_031946877.1	UL
XM_031946265.1	I
XM_031949096.1	M
XM_012542039.3	M
XM_031963755.1	I
XM_031955226.1	I
XM_003762073.3	I
XM_031948158.1	I
XM_031953172.1	I
XM_003761122.4	I
XM_031948474.1	M
XM_023498224.2	I
XM_031947905.1	I
XM_031946646.1	I
XM_031944414.1	I
XM_031946994.1	I
XM_031945446.1	I
XM_003761018.3	I
XM_031947759.1	I
XM_003760250.4	I
XM_031940220.1	PI
XM_031966241.1	I
XM_031954026.1	I
XM_031937296.1	I
XM_003762486.3	I
XM_031948826.1	I
XM_012542788.2	I
XM_012541986.3	I
XM_031945512.1	I
XM_031963740.1	I
XM_031948533.1	UL
XM_031948176.1	M
XM_031948083.1	I
XM_023498624.2	I
XM_003761463.4	I
XM_031937700.1	I
