Gene name	TranscriptID	Chromosome	Transcript length	GC Content	GC Stretch	Missing exon	Deleted exon	TOGA status
A1CF	XM_012552519.3	NC_045427.1	1782	50.00	3.99019607843137	No	No	I
A4GALT	XM_031940537.1	NC_045430.1	1068	53.93	4	No	No	I
A4GNT	XM_031961292.1	NC_045428.1	1035	39.71	3.34375	No	No	I
AAAS	XM_031937806.1	NC_045430.1	1635	57.13	3.944	No	No	I
AAK1	XM_031950605.1	NC_045427.1	3720	50.54	3.665	Yes	No	PI
AAMDC	XM_031961513.1	NC_045428.1	369	56.37	3.92	No	No	I
AAMP	XM_031958062.1	NC_045428.1	1311	66.90	4.85454545454545	Yes	No	M
AANAT	XM_012548484.2	NC_045429.1	738	53.39	3.87755102040816	No	No	I
AAR2	XM_023507125.2	NC_045427.1	1155	64.85	5.72839506172839	Yes	No	M
AARS1	XM_031949982.1	NC_045427.1	2907	52.43	3.80645161290323	No	No	I
AARS2	XM_003769087.4	NC_045429.1	2973	56.17	3.87727272727273	No	No	I
AASDH	XM_031941785.1	NC_045431.1	3348	39.81	3.3875	No	No	I
AATF	XM_031966545.1	NC_045429.1	1671	49.55	3.7816091954023	No	No	I
AATK	XM_031965601.1	NC_045429.1	4581	63.13	4.45502645502645	Yes	No	M
ABAT	XM_003761721.4	NC_045426.1	1503	45.04	3.74509803921569	No	No	I
ABCA1	XM_012543118.3	NC_045426.1	6777	45.77	3.49429657794677	No	No	I
ABCA12	XM_031958095.1	NC_045428.1	7806	40.55	3.37556561085973	No	No	I
ABCA13	XM_031957225.1	NC_045426.1	13569	37.24	3.31804281345566	No	No	I
ABCA4	XM_031967109.1	NC_045429.1	5790	52.75	3.90536277602524	Yes	No	I
ABCA7	XM_031948023.1	NC_045426.1	6540	60.29	4.35	Yes	No	I
ABCB10	XM_031966895.1	NC_045429.1	2151	51.32	5.05825242718447	No	No	I
ABCB11	XM_012544786.3	NC_045428.1	3972	42.42	3.40140845070423	No	No	I
ABCB6	XM_031958005.1	NC_045428.1	2529	62.83	5.37078651685393	Yes	No	PI
ABCB8	XM_003771769.4	NC_045430.1	2106	58.12	4.15625	No	No	I
ABCC1	XM_031944179.1	NC_045426.1	4575	46.99	3.68	Yes	No	PI
ABCC11	XM_012553798.3	NC_045427.1	4296	43.51	3.55172413793103	No	No	I
ABCC2	XM_031956244.1	NC_045427.1	4656	45.43	3.59113300492611	No	No	I
ABCC4	XM_031958557.1	NC_045428.1	3978	40.35	3.43548387096774	No	No	I
ABCC5	XM_031968121.1	NC_045429.1	4314	54.29	3.96014492753623	Yes	No	PI
ABCC8	XM_003773532.4	NC_045431.1	4743	51.87	3.7752808988764	Yes	No	PI
ABCC9	XM_023504488.2	NC_045430.1	4659	40.42	3.35766423357664	No	No	I
ABCD1	XM_031944747.1	NC_045432.1	1767	56.48	4.37037037037037	No	Yes	UL
ABCE1	XM_031942788.1	NC_045431.1	1800	39.56	3.43137254901961	No	No	I
ABCF1	XM_003768884.3	NC_045429.1	2523	48.32	3.74380165289256	No	No	I
ABCF3	XM_023503844.1	NC_045429.1	1401	60.03	4.32710280373832	Yes	No	PI
ABCG4	XM_031960121.1	NC_045428.1	2001	55.82	4.13223140495868	No	No	I
ABHD1	XM_003767088.3	NC_045427.1	1230	55.28	4.02631578947368	No	No	I
ABHD10	XM_012544514.2	NC_045428.1	909	44.44	3.875	No	No	I
ABHD13	XM_031958701.1	NC_045428.1	1020	39.22	3.57142857142857	No	No	I
ABHD14A	XM_031958414.1	NC_045426.1	741	57.09	4.08510638297872	No	No	I
ABHD14B	XM_031958425.1	NC_045426.1	687	62.74	4.61538461538461	No	No	UL
ABHD15	XM_031967718.1	NC_045429.1	1464	67.14	5.34645669291339	No	No	I
ABHD16B	XM_031951812.1	NC_045427.1	1401	58.96	4.23148148148148	No	No	I
ABHD17B	XM_031943682.1	NC_045426.1	867	40.95	3.25925925925926	No	No	I
ABHD2	XM_003755527.4	NC_045427.1	1278	45.15	3.3728813559322	No	No	I
ABHD3	XM_031946543.1	NC_045426.1	1221	45.21	3.70212765957447	No	No	I
ABHD4	XM_012544943.3	NC_045427.1	1029	50.92	3.92307692307692	No	No	I
ABHD8	XM_031947997.1	NC_045426.1	1278	64.87	5.23232323232323	Yes	No	M
ABI1	XM_031939839.1	NC_045430.1	1527	48.00	4.01492537313433	No	No	I
ABI2	XM_031958266.1	NC_045428.1	1518	47.63	3.81967213114754	No	No	I
ABI3	XM_023504095.2	NC_045429.1	1068	55.43	4.015625	No	No	I
ABI3BP	XM_031959586.1	NC_045428.1	4803	43.22	3.58536585365854	No	Yes	I
ABITRAM	XM_031945552.1	NC_045426.1	546	42.31	4.05	No	No	I
ABL1	XM_031954848.1	NC_045427.1	3435	48.79	3.76687116564417	Yes	No	PI
ABL2	XM_031936957.1	NC_045429.1	3468	56.89	4.62053571428571	No	No	I
ABLIM1	XM_031955890.1	NC_045427.1	2376	47.77	3.66666666666667	No	No	I
ABLIM2	XM_031942738.1	NC_045431.1	1935	45.63	3.53658536585366	No	No	I
ABR	XM_031967754.1	NC_045429.1	3654	60.86	4.91803278688525	Yes	No	M
ABRA	XM_003760316.2	NC_045426.1	1194	47.74	3.76271186440678	No	No	I
ABRAXAS2	XM_031957001.1	NC_045427.1	1476	49.66	4.39189189189189	No	No	UL
ABTB1	XM_003762485.4	NC_045426.1	1437	56.78	3.93617021276596	No	No	I
ABTB2	XM_031941908.1	NC_045431.1	3069	63.12	4.74891774891775	Yes	No	PI
ACAA2	XM_003759542.4	NC_045426.1	1194	45.64	3.40425531914894	No	No	I
ACACB	XM_031948757.1	NC_045426.1	7341	54.80	4.10561797752809	Yes	No	PI
ACAD11	XM_031940121.1	NC_045430.1	2520	48.13	4.37837837837838	No	No	I
ACAD8	XM_031960863.1	NC_045428.1	1248	55.85	4.34146341463415	No	No	I
ACAD9	XM_031956669.1	NC_045426.1	1887	44.83	4.30666666666667	No	No	I
ACADS	XM_031948733.1	NC_045426.1	1239	62.47	4.43518518518519	Yes	No	PI
