Test	LRT	p-value	K
Antechinus_flavipes	6.760184254500928	0.009321413511722998	5.07261145710813e-06
Dasyurus_viverrinus	0.9846928496372129	0.3210429570437331	6.733037602733199e-06
Dromiciops_gliroides	2.863793636784976	0.09059361078474448	0.4527118329224954
Gracilinanus_agilis	3.407770167239505	0.06489007517266987	0.2628048446791312
Lagorchestes_hirsutus	0.1891346468837583	0.6636378213153202	0.7447105693676803
Macropus_fuliginosus	-0.002452898635965539	1	0.9225773869102856
Macropus_giganteus	0.7406950819859048	0.3894383095745344	0.00203774581498127
Macrotis_lagotis	2.900478004732577	0.08855328952467334	0.5326108435244606
Monodelphis_domestica	0.4830159049524809	0.487059402185528	0.4133159607842985
Myrmecobius_fasciatus	0.4361970753634523	0.5089636995542731	3.065796793780056
Notamacropus_eugenii	0.1143615140572365	0.7352322240733771	0.4201988345653894
Phalanger_gymnotis	1.630630794930767	0.2016158230182694	0.2215510505576763
Potorous_gilbertii	1.334505420290952	0.2480052777693245	0.3653373173111876
Pseudocheirus_occidentalis	0.09085505517577985	0.7630929314842093	0.8680072519862061
Pseudochirops_corinnae	61.40278109367864	4.662936703425657e-15	6.660266483474136
Pseudochirops_cupreus	0.556485143777536	0.4556799083902761	0.7356899801124589
Sarcophilus_harrisii	0.07699650492577348	0.7814096869357671	1.219934551921151
Sminthopsis_crassicaudata	0.7922562985950208	0.3734187412587118	0.2656988579843846
Thylacinus_cynocephalus	0.03857221982980263	0.8442985710492052	4.588415471139546
Trichosurus_vulpecula	3.739296611689497	0.05314681362126528	0.03564882398032145
Vombatus_ursinus	6.715299570914794	0.009558923240139516	0.09289757317033742
