""	"clade"	"mdl"	"fgspecies"	"bgspecies"	"om0"	"lnlm0"	"npm0"	"ombnfg"	"ombnbg"	"lnlbn"	"npbn"	"ombffg"	"ombfbg"	"lnlbf"	"npbf"	"pvalm0_bfree"	"pavalbne_bfree"	"adjusted_pvalm0_bfree"	"adjusted_pavalbne_bfree"
"1"	"VWA7"	"F1x4"	"Antechinus_flavipes"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Sarcophilus_harrisii,Dasyurus_viverrinus,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Lagorchestes_hirsutus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis"	0.3725	-12572.941119	41	1	0.37163	-12576.93192	41	0.40846	0.37161	-12572.896555	42	0.765288663644371	0.00449859897141882	0.906344750296235	0.00821483290433002
"2"	"VWA7"	"F3x4"	"Antechinus_flavipes"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Sarcophilus_harrisii,Dasyurus_viverrinus,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Lagorchestes_hirsutus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis"	0.37907	-12561.12355	41	1	0.37815	-12564.905447	41	0.41852	0.3781	-12561.071873	42	0.747841234085105	0.00562352733661833	0.906344750296235	0.00952327472893679
"3"	"VWA7"	"F1x4"	"Dasyurus_viverrinus"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Lagorchestes_hirsutus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis"	0.3725	-12572.941119	41	1	0.36911	-12571.374523	41	0.89235	0.36911	-12571.349802	42	0.0744246670865034	0.824037095187613	0.260486334802762	0.935393459402155
"4"	"VWA7"	"F3x4"	"Dasyurus_viverrinus"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Lagorchestes_hirsutus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis"	0.37907	-12561.12355	41	1	0.37558	-12559.522155	41	0.9128	0.37558	-12559.50622	42	0.0720952667478486	0.858313274992986	0.260486334802762	0.948662040781721
"5"	"VWA7"	"F1x4"	"Dromiciops_gliroides"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Lagorchestes_hirsutus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Monodelphis_domestica,Gracilinanus_agilis"	0.3725	-12572.941119	41	1	0.37317	-12586.474558	41	0.35875	0.37347	-12572.92157	42	0.843254640471319	1.92601630929724e-07	0.932018286836721	1.61785369980968e-06
"6"	"VWA7"	"F3x4"	"Dromiciops_gliroides"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Lagorchestes_hirsutus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Monodelphis_domestica,Gracilinanus_agilis"	0.37907	-12561.12355	41	1	0.37986	-12574.189319	41	0.36487	0.38007	-12561.103468	42	0.841160267237077	3.12366663285619e-07	0.932018286836721	2.18656664299933e-06
"7"	"VWA7"	"F1x4"	"Gracilinanus_agilis"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Lagorchestes_hirsutus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Dromiciops_gliroides,Monodelphis_domestica"	0.3725	-12572.941119	41	1	0.37765	-12586.546683	41	0.20873	0.38064	-12570.667484	42	0.0329712765641712	1.74592692949225e-08	0.208613276093507	2.44429770128915e-07
"8"	"VWA7"	"F3x4"	"Gracilinanus_agilis"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Lagorchestes_hirsutus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Dromiciops_gliroides,Monodelphis_domestica"	0.37907	-12561.12355	41	1	0.38437	-12574.351514	41	0.21115	0.38746	-12558.815839	42	0.0316856978611178	2.48715489788719e-08	0.208613276093507	2.61151264278155e-07
"9"	"VWA7"	"F1x4"	"Lagorchestes_hirsutus"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis"	0.3725	-12572.941119	41	1	0.37178	-12574.245643	41	0.43234	0.37193	-12572.897575	42	0.767912325584598	0.100591771075102	0.906344750296235	0.136285625327558
"10"	"VWA7"	"F3x4"	"Lagorchestes_hirsutus"	"Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Phalanger_gymnotis,Trichosurus_vulpecula,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Pseudochirops_cupreus,Pseudochirops_corinnae,Pseudocheirus_occidentalis,Vombatus_ursinus,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis"	0.37907	-12561.12355	41	1	0.37841	-12562.388686	41	0.43748	0.37852	-12561.083391	42	0.776866928825344	0.106152262226204	0.906344750296235	0.139324844171893
