Test	LRT	p-value	K
Antechinus_flavipes	3.456064270161733	0.06302015184470533	1.548228089490184
Dasyurus_viverrinus	1.601785536360694	0.2056503577187769	0.3923994299677132
Dromiciops_gliroides	0.7796532463544281	0.3772472104016072	1.193107516209043
Gracilinanus_agilis	9.161386840904015	0.002471751766236929	1.782147365573973
Lagorchestes_hirsutus	0.08117205008602468	0.7757153237857102	1.141106570067432
Macropus_fuliginosus	0.01805645642889431	0.893106591387105	0.1585369694705895
Macropus_giganteus	3.17877037969447	0.07460084944183254	2.900205280077775
Macrotis_lagotis	4.738614486108418	0.02949281427809414	0.5971907793897616
Monodelphis_domestica	0.4858717758179409	0.4857746128290638	1.178937809579542
Myrmecobius_fasciatus	0.2480795387455146	0.6184305912154304	1.1377134489728
Notamacropus_eugenii	11.25019007513038	0.0007961486251366612	2.577972943845794
Phalanger_gymnotis	0.005909939893172123	0.9387220841057703	0.9571282068808024
Potorous_gilbertii	0.1625453595697763	0.6868237965394988	1.140628453883058
Pseudocheirus_occidentalis	0.2566395820686012	0.6124382637185117	0.8395915520008705
Pseudochirops_corinnae	2.53980837596464	0.1110082580528619	0.1185717668196946
Pseudochirops_cupreus	0.8131219341157703	0.3671988568027235	0.3892154326081954
Sarcophilus_harrisii	0.5037114049919182	0.4778738866689111	0.08166828452030472
Sminthopsis_crassicaudata	0.1848537665937329	0.6672347504374068	0.8651837547721093
Thylacinus_cynocephalus	1.185042567762139	0.2763318147719135	1.243300644198665
Trichosurus_vulpecula	0.5696966805335251	0.4503794726728073	0.5320449983667161
Vombatus_ursinus	0.9974587359465659	0.317926201743181	0.7035760559532439
