# klumpy scan_alignments --alignment_map Monodelphis_domestica.merge.sorted.bam --threads 16
Region_Number	Reference_Seq	Start	End	Number_of_Groups
1	NC_077232.1	0	50000	2
2	NC_077232.1	175000	250000	2,1
3	NC_077232.1	400000	550000	1,1,1,3
4	NC_077232.1	650000	725000	2,3
5	NC_077232.1	1050000	1200000	3,2,3,2
6	NC_077232.1	1450000	1575000	2,1,2,3
7	NC_077232.1	2425000	2500000	3,3
8	NC_077232.1	2525000	2725000	4,6,2,2,3,3
9	NC_077232.1	2775000	2850000	3,3
10	NC_077232.1	3425000	3500000	2,2
11	NC_077232.1	3600000	3675000	2,1
12	NC_077232.1	3825000	3975000	1,2,1,1,1
13	NC_077232.1	4000000	4075000	2,3
14	NC_077232.1	4175000	4300000	1,1,3
15	NC_077232.1	4400000	4525000	2,1,2,3
16	NC_077232.1	4575000	4700000	1,1,3
17	NC_077232.1	5150000	5325000	1,1,1,2,1
18	NC_077232.1	5575000	5650000	2,2
19	NC_077232.1	5900000	6025000	1,2,2,2
20	NC_077232.1	7900000	7975000	4,3
21	NC_077232.1	8250000	8325000	3,3
22	NC_077232.1	8550000	8625000	2,3
23	NC_077232.1	9000000	9075000	1,2
24	NC_077232.1	9275000	9350000	2,2
25	NC_077232.1	9450000	9625000	1,2,1,1,1
26	NC_077232.1	10275000	10350000	1,2
27	NC_077232.1	11375000	11575000	1,2,2,2,2,1
28	NC_077232.1	11625000	11700000	1,2
29	NC_077232.1	11750000	11825000	1,2
30	NC_077232.1	11875000	12075000	1,2,1,1,1,1
31	NC_077232.1	12325000	12400000	2,3
32	NC_077232.1	19525000	19600000	2,2
33	NC_077232.1	19850000	19925000	2,2
34	NC_077232.1	20125000	20200000	2,3
35	NC_077232.1	20850000	20925000	2,2
36	NC_077232.1	25450000	25525000	3,3
37	NC_077232.1	27050000	27125000	3,3
38	NC_077232.1	27250000	27325000	4,2
39	NC_077232.1	29350000	29425000	2,2
40	NC_077232.1	30025000	30200000	1,2,1,2,3,2
41	NC_077232.1	30325000	30400000	2,2
42	NC_077232.1	30700000	30750000	2
43	NC_077232.1	30775000	30850000	1,1
44	NC_077232.1	30900000	31000000	2,2,2
45	NC_077232.1	31025000	31175000	2,3,3,2
46	NC_077232.1	31200000	31275000	2,4
47	NC_077232.1	31650000	31725000	3,2
48	NC_077232.1	31750000	31825000	1,2
49	NC_077232.1	33975000	34050000	1,3
50	NC_077232.1	35600000	35675000	1,2
51	NC_077232.1	37925000	38000000	1,3
52	NC_077232.1	39225000	39300000	2,2
53	NC_077232.1	39650000	39725000	2,2
54	NC_077232.1	39900000	39975000	3,2
55	NC_077232.1	40025000	40100000	1,1
56	NC_077232.1	40150000	40225000	1,3
57	NC_077232.1	40575000	40675000	1,2,3
58	NC_077232.1	40725000	40800000	3,1
59	NC_077232.1	40875000	40975000	1,2,2
60	NC_077232.1	41525000	41600000	3,2
61	NC_077232.1	41775000	41900000	2,2,3,3
62	NC_077232.1	42700000	42825000	1,1,2,7
63	NC_077232.1	44200000	44275000	2,1
64	NC_077232.1	44325000	44400000	1,2
65	NC_077232.1	44725000	44800000	2,2
66	NC_077232.1	45850000	45925000	2,4
67	NC_077232.1	46200000	46275000	1,1
68	NC_077232.1	46300000	46375000	2,2
69	NC_077232.1	49525000	49600000	1,2
70	NC_077232.1	49950000	50100000	3,2,2,4
