test	pval
Antechinus_flavipes	NA
Dasyurus_viverrinus	NA
Dromiciops_gliroides	NA
Gracilinanus_agilis	NA
Lagorchestes_hirsutus	NA
Macropus_fuliginosus	NA
Macropus_giganteus	NA
Macrotis_lagotis	NA
Monodelphis_domestica	0.00000
Myrmecobius_fasciatus	NA
Notamacropus_eugenii	NA
Phalanger_gymnotis	NA
Potorous_gilbertii	NA
Pseudocheirus_occidentalis	NA
Pseudochirops_corinnae	NA
Pseudochirops_cupreus	NA
Sarcophilus_harrisii	NA
Sminthopsis_crassicaudata	NA
Thylacinus_cynocephalus	NA
Trichosurus_vulpecula	NA
Vombatus_ursinus	NA
