Species_name	dN	dS	omega
Antechinus_flavipes	0.017763	0.024866	0.714349
Dasyurus_viverrinus	0.005584	0.015965	0.349765
Dromiciops_gliroides	0.047351	0.100170	0.472706
Gracilinanus_agilis	0.040391	0.045280	0.892027
Lagorchestes_hirsutus	0.010290	0.014568	0.706343
Macropus_fuliginosus	0.000882	0.001725	0.511304
Macropus_giganteus	0.002378	0.000865	2.74913
Macrotis_lagotis	0.066712	0.174746	0.381766
Monodelphis_domestica	0.033228	0.063435	0.523812
Myrmecobius_fasciatus	0.027936	0.045958	0.607859
Notamacropus_eugenii	0.010991	0.006167	1.78223
Phalanger_gymnotis	0.016316	0.034124	0.478139
Potorous_gilbertii	0.017666	0.039278	0.449768
Pseudocheirus_occidentalis	0.018761	0.040308	0.465441
Pseudochirops_corinnae	0.006749	0.019733	0.342016
Pseudochirops_cupreus	0.005503	0.016986	0.323973
Sarcophilus_harrisii	0.003917	0.009528	0.411104
Sminthopsis_crassicaudata	0.020334	0.037885	0.53673
Thylacinus_cynocephalus	0.035938	0.055924	0.642622
Trichosurus_vulpecula	0.010467	0.034684	0.301782
Vombatus_ursinus	0.031133	0.070581	0.441096
