Gene_name	TranscriptID	Chromosome	Transcript_length	GC_Content	GC_Stretch	Missing_exon	Deleted_exon	TOGA_status
PLXNB1	XM_031966918.1	NC_045426.1	6879	58.54	4.26612903225806	Yes	No	PI
CETN3	XM_031967422.1	NC_045426.1	504	35.52	3.2	No	No	I
NUDT12	XM_031968751.1	NC_045426.1	1386	39.11	3.40540540540541	No	No	I
SGTB	XM_023495780.2	NC_045426.1	915	43.50	3.76666666666667	No	No	I
UFD1	XM_031948978.1	NC_045426.1	924	48.38	3.97777777777778	Yes	No	PI
KAT8	XM_031939767.1	NC_045426.1	1368	51.32	4.32876712328767	No	No	I
LMF1	XM_031945746.1	NC_045426.1	1824	46.93	3.88505747126437	No	No	UL
NSMAF	XM_031946374.1	NC_045426.1	2763	39.31	3.58208955223881	No	No	I
TRH	XM_012543649.2	NC_045426.1	672	58.63	4.23913043478261	No	No	I
SSTR5	XM_031945747.1	NC_045426.1	1173	45.95	3.54901960784314	Yes	No	I
KANK1	XM_031943902.1	NC_045426.1	4152	46.53	3.46951219512195	No	No	I
FAM172A	XM_031967592.1	NC_045426.1	1251	39.49	3.51612903225806	No	No	I
CHST9	XM_031946738.1	NC_045426.1	1176	37.50	3.35714285714286	No	Yes	I
GPAA1	XM_012541970.3	NC_045426.1	1866	58.90	3.98648648648649	No	No	I
RPUSD1	XM_031945739.1	NC_045426.1	912	56.36	3.74603174603175	Yes	No	PI
DNASE1L2	XM_031945868.1	NC_045426.1	915	55.96	4.90909090909091	No	No	I
PDP1	XM_031946990.1	NC_045426.1	1722	51.68	4.01923076923077	Yes	No	I
GUCD1	XM_031949107.1	NC_045426.1	717	63.74	4.87234042553191	Yes	No	PI
SSBP2	XM_031967111.1	NC_045426.1	1020	48.04	3.68888888888889	No	No	I
RBFOX1	XM_031951936.1	NC_045426.1	1251	50.04	3.78205128205128	Yes	No	PI
OXR1	XM_031947114.1	NC_045426.1	732	39.89	3.44444444444444	No	No	I
LOC100915924	XM_023498007.2	NC_045426.1	2799	41.51	3.56122448979592	Yes	No	M
NFIC	XM_031947889.1	NC_045426.1	1320	60.08	4.33673469387755	Yes	No	I
C1H12orf65	XM_012542468.3	NC_045426.1	558	51.61	4	No	No	UL
APOBR	XM_012543299.3	NC_045426.1	4161	48.95	3.39906103286385	No	No	I
PEX11G	XM_012542316.3	NC_045426.1	720	48.06	3.74285714285714	No	No	I
MAZ	XM_031963658.1	NC_045426.1	1371	61.78	4.33	Yes	No	I
LRRC2	XM_031937683.1	NC_045426.1	1113	37.47	3.32	No	No	I
MZT2B	XM_031949053.1	NC_045426.1	531	72.13	6.02040816326531	Yes	No	M
FEM1A	XM_012542027.3	NC_045426.1	1974	67.07	5.49333333333333	No	No	I
LOC100915270	XM_031947744.1	NC_045426.1	639	56.03	3.82	No	No	I
ABAT	XM_003761721.4	NC_045426.1	1503	45.04	3.74509803921569	No	No	I
TAOK2	XM_031963476.1	NC_045426.1	3738	57.60	4.09318996415771	No	No	UL
PRDM6	XM_031939120.1	NC_045426.1	1797	57.32	4.48360655737705	No	No	I
ZNF236	XM_031946719.1	NC_045426.1	5742	40.87	3.37974683544304	No	No	I
CELF5	XM_031948241.1	NC_045426.1	1512	59.06	4.06666666666667	Yes	No	PI
ZNF532	XM_031945908.1	NC_045426.1	3645	45.93	3.73333333333333	No	No	I
S1PR3	XM_023498547.2	NC_045426.1	1134	42.33	3.48979591836735	No	No	I
LOC100931991	XM_023497783.2	NC_045426.1	3513	53.71	3.91219512195122	No	No	I
MCOLN1	XM_031948354.1	NC_045426.1	1725	54.49	4.02702702702703	No	No	I
LUC7L	XM_031945683.1	NC_045426.1	1110	47.12	4.17948717948718	No	No	I
ZHX2	XM_012541806.3	NC_045426.1	2442	54.87	4.15686274509804	No	No	I
KLHDC8B	XM_031959314.1	NC_045426.1	1065	59.91	4.11827956989247	No	No	I
RAI1	XM_031938382.1	NC_045426.1	6093	62.50	4.47638603696099	Yes	No	M
RNF38	XM_031937218.1	NC_045426.1	1299	47.96	3.42105263157895	No	No	I
TRAPPC13	XM_003759402.4	NC_045426.1	1257	39.22	3.48148148148148	No	No	I
RNF19A	XM_031947056.1	NC_045426.1	2454	42.30	3.41025641025641	No	No	I
FAM110B	XM_023496001.2	NC_045426.1	1113	54.09	4.22368421052632	No	No	I
LOC100926104	XM_003759756.3	NC_045426.1	1521	38.59	3.36170212765957	No	No	I
RANBP3L	XM_031964179.1	NC_045426.1	1602	38.95	3.25925925925926	No	No	UL
LOC105749442	XM_031948536.1	NC_045426.1	1086	62.89	4.69473684210526	Yes	No	M
PGAP4	XM_031961288.1	NC_045426.1	1191	53.23	4.38461538461539	No	No	I
PRLR	XM_031964133.1	NC_045426.1	1884	46.92	3.6025641025641	No	No	I
