Gene stable ID	Gene name	Gene % GC content	Tasmanian devil gene stable ID	Tasmanian devil gene name	Tasmanian devil chromosome/scaffold name	Query protein or transcript ID	Tasmanian devil Gene-order conservation score	Tasmanian devil Whole-genome alignment coverage	Tasmanian devil orthology confidence [0 low, 1 high]
ENSG00000210049	MT-TF	40.85							
ENSG00000211459	MT-RNR1	45.49							
ENSG00000210077	MT-TV	42.03							
ENSG00000210082	MT-RNR2	42.81							
ENSG00000209082	MT-TL1	38.67							
ENSG00000198888	MT-ND1	47.70	ENSSHAG00000020425	ND1	MT	ENSP00000354687	50	100.00	1
ENSG00000210100	MT-TI	28.99							
ENSG00000210107	MT-TQ	48.61							
ENSG00000210112	MT-TM	45.59							
ENSG00000198763	MT-ND2	42.99	ENSSHAG00000020429	ND2	MT	ENSP00000355046	75	100.00	1
ENSG00000210117	MT-TW	35.29							
ENSG00000210127	MT-TA	43.48							
ENSG00000210135	MT-TN	41.10							
ENSG00000210140	MT-TC	45.45							
ENSG00000210144	MT-TY	42.42							
ENSG00000198804	MT-CO1	46.24	ENSSHAG00000020435	COX1	MT	ENSP00000354499	100	100.00	1
ENSG00000210151	MT-TS1	49.28							
ENSG00000210154	MT-TD	23.53							
ENSG00000198712	MT-CO2	46.20	ENSSHAG00000020438	COX2	MT	ENSP00000354876	100	96.78	1
ENSG00000210156	MT-TK	32.86							
ENSG00000228253	MT-ATP8	39.61							
ENSG00000198899	MT-ATP6	44.20	ENSSHAG00000027631		2	ENSP00000354632	0	0.00	0
ENSG00000198899	MT-ATP6	44.20	ENSSHAG00000020441	ATP6	MT	ENSP00000354632	100	100.00	1
ENSG00000198899	MT-ATP6	44.20	ENSSHAG00000022866		2	ENSP00000354632	0	0.00	0
ENSG00000198899	MT-ATP6	44.20	ENSSHAG00000021743		4	ENSP00000354632	0	0.00	0
ENSG00000198938	MT-CO3	46.56	ENSSHAG00000020442	COX3	MT	ENSP00000354982	100	100.00	1
ENSG00000210164	MT-TG	26.47							
