Gene stable ID	Gene name	Gene % GC content	Mouse gene stable ID	Last common ancestor with Mouse	Mouse homology type	%id. target Mouse gene identical to query gene	%id. query gene identical to target Mouse gene	Mouse Gene-order conservation score	Mouse Whole-genome alignment coverage	Mouse orthology confidence [0 low, 1 high]
ENSG00000210049	MT-TF	40.85								
ENSG00000211459	MT-RNR1	45.49								
ENSG00000210077	MT-TV	42.03								
ENSG00000210082	MT-RNR2	42.81								
ENSG00000209082	MT-TL1	38.67								
ENSG00000198888	MT-ND1	47.70	ENSMUSG00000064341	Euarchontoglires	ortholog_one2one	77.044	77.044	50	100.00	1
ENSG00000210100	MT-TI	28.99								
ENSG00000210107	MT-TQ	48.61								
ENSG00000210112	MT-TM	45.59								
ENSG00000198763	MT-ND2	42.99	ENSMUSG00000064345	Euarchontoglires	ortholog_one2one	57.0605	57.3913	75	100.00	1
ENSG00000210117	MT-TW	35.29								
ENSG00000210127	MT-TA	43.48								
ENSG00000210135	MT-TN	41.10								
ENSG00000210140	MT-TC	45.45								
ENSG00000210144	MT-TY	42.42								
ENSG00000198804	MT-CO1	46.24	ENSMUSG00000064351	Euarchontoglires	ortholog_one2one	90.8382	90.6615	100	100.00	1
ENSG00000210151	MT-TS1	49.28								
ENSG00000210154	MT-TD	23.53								
ENSG00000198712	MT-CO2	46.20	ENSMUSG00000064354	Mammalia	ortholog_one2one	71.3656	71.3656	100	100.00	1
ENSG00000210156	MT-TK	32.86								
ENSG00000228253	MT-ATP8	39.61	ENSMUSG00000064356	Euarchontoglires	ortholog_one2one	45.5882	46.2687	100	100.00	0
ENSG00000198899	MT-ATP6	44.20	ENSMUSG00000064357	Eutheria	ortholog_one2one	75.6637	75.6637	100	100.00	1
ENSG00000198938	MT-CO3	46.56	ENSMUSG00000064358	Eutheria	ortholog_one2one	86.9732	86.9732	100	100.00	1
ENSG00000210164	MT-TG	26.47								
ENSG00000198840	MT-ND3	40.17	ENSMUSG00000064360	Eutheria	ortholog_one2one	66.087	66.087	100	100.00	1
ENSG00000210174	MT-TR	23.08								
