	query_id	query_length	hit_id	query_HSP_range_limits_original	query_HSP_range_limits_trimmed	query_HSPFragment_ranges	hit_percent_similarity_original	hit_percent_similarity_trimmed	hit_strand	hit_HSP_range_limits_original	hit_HSP_range_limits_trimmed	hit_HSPFragment_ranges_original	hit_HSPFragment_ranges_trimmed	3-prime_bases_trimmed
Hits filtered > 55 percent similarity	Sarcophilus_harrisii-XM_003774506.4	301	NODE_5_length_793_cov_5.195531	(0, 70)	(5, 70)	[(0, 70)]	78.57	83.08	-1	(448, 658)	(463, 658)	[(448, 658)]	[(463, 658)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_6_length_785_cov_5.901130	(69, 107)	(69, 107)	[(69, 107)]	97.37	97.37	1	(422, 536)	(422, 536)	[(422, 536)]	[(422, 536)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_2_length_860_cov_6.016603	(102, 152)	(102, 150)	[(102, 152)]	94.0	97.92	-1	(470, 620)	(470, 614)	[(470, 620)]	[(470, 614)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_4_length_814_cov_5.036635	(148, 185)	(148, 185)	[(148, 185)]	97.3	97.30	-1	(391, 502)	(391, 502)	[(391, 502)]	[(391, 502)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_3_length_846_cov_6.586476	(181, 232)	(186, 232)	[(181, 232)]	88.24	95.65	1	(374, 527)	(389, 527)	[(374, 527)]	[(389, 527)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_8_length_478_cov_3.892768	(193, 232)	(193, 229)	[(193, 232)]	71.79	75.00	1	(100, 217)	(100, 208)	[(100, 217)]	[(100, 208)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_1_length_933_cov_5.667056	(229, 271)	(229, 271)	[(229, 271)]	92.86	92.86	1	(417, 543)	(417, 543)	[(417, 543)]	[(417, 543)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_7_length_688_cov_4.230769	(270, 301)	(270, 301)	[(270, 301)]	87.1	87.10	-1	(148, 241)	(148, 241)	[(148, 241)]	[(148, 241)]	N/A
Hits with subsumed hits removed	Sarcophilus_harrisii-XM_003774506.4	301	NODE_5_length_793_cov_5.195531	(0, 70)	(5, 70)	[(0, 70)]	78.57	83.08	-1	(448, 658)	(463, 658)	[(448, 658)]	[(463, 658)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_6_length_785_cov_5.901130	(69, 107)	(69, 107)	[(69, 107)]	97.37	97.37	1	(422, 536)	(422, 536)	[(422, 536)]	[(422, 536)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_2_length_860_cov_6.016603	(102, 152)	(102, 150)	[(102, 152)]	94.0	97.92	-1	(470, 620)	(470, 614)	[(470, 620)]	[(470, 614)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_4_length_814_cov_5.036635	(148, 185)	(148, 185)	[(148, 185)]	97.3	97.30	-1	(391, 502)	(391, 502)	[(391, 502)]	[(391, 502)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_3_length_846_cov_6.586476	(181, 232)	(186, 232)	[(181, 232)]	88.24	95.65	1	(374, 527)	(389, 527)	[(374, 527)]	[(389, 527)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_1_length_933_cov_5.667056	(229, 271)	(229, 271)	[(229, 271)]	92.86	92.86	1	(417, 543)	(417, 543)	[(417, 543)]	[(417, 543)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_7_length_688_cov_4.230769	(270, 301)	(270, 301)	[(270, 301)]	87.1	87.10	-1	(148, 241)	(148, 241)	[(148, 241)]	[(148, 241)]	N/A
Hits with subsumed hits removed and trimmed	Sarcophilus_harrisii-XM_003774506.4	301	NODE_5_length_793_cov_5.195531	(0, 70)	(5, 70)	[(0, 70)]	78.57	83.08	-1	(448, 658)	(463, 658)	[(448, 658)]	[(463, 658)]	3
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_6_length_785_cov_5.901130	(69, 107)	(69, 107)	[(69, 107)]	97.37	97.37	1	(422, 536)	(422, 536)	[(422, 536)]	[(422, 536)]	15
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_2_length_860_cov_6.016603	(102, 152)	(102, 150)	[(102, 152)]	94.0	97.92	-1	(470, 620)	(470, 614)	[(470, 620)]	[(470, 614)]	6
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_4_length_814_cov_5.036635	(148, 185)	(148, 185)	[(148, 185)]	97.3	97.30	-1	(391, 502)	(391, 502)	[(391, 502)]	[(391, 502)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_3_length_846_cov_6.586476	(181, 232)	(186, 232)	[(181, 232)]	88.24	95.65	1	(374, 527)	(389, 527)	[(374, 527)]	[(389, 527)]	9
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_1_length_933_cov_5.667056	(229, 271)	(229, 271)	[(229, 271)]	92.86	92.86	1	(417, 543)	(417, 543)	[(417, 543)]	[(417, 543)]	3
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_7_length_688_cov_4.230769	(270, 301)	(270, 301)	[(270, 301)]	87.1	87.10	-1	(148, 241)	(148, 241)	[(148, 241)]	[(148, 241)]	N/A
