	query_id	query_length	hit_id	query_HSP_range_limits_original	query_HSP_range_limits_trimmed	query_HSPFragment_ranges	hit_percent_similarity_original	hit_percent_similarity_trimmed	hit_strand	hit_HSP_range_limits_original	hit_HSP_range_limits_trimmed	hit_HSPFragment_ranges_original	hit_HSPFragment_ranges_trimmed	3-prime_bases_trimmed
Hits filtered > 55 percent similarity	Sarcophilus_harrisii-XM_003774508.4	301	NODE_4_length_810_cov_5.631651	(0, 70)	(0, 70)	[(0, 70)]	97.14	97.14	-1	(448, 658)	(448, 658)	[(448, 658)]	[(448, 658)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_5_length_745_cov_4.592814	(69, 107)	(69, 101)	[(69, 107)]	71.05	81.25	1	(422, 536)	(422, 518)	[(422, 536)]	[(422, 518)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_1_length_982_cov_7.655249	(98, 185)	(105, 185)	[(98, 150), (150, 185)]	90.8	98.75	-1	(416, 831)	(437, 831)	[(675, 831), (416, 521)]	[(675, 831), (437, 521)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_6_length_596_cov_4.913295	(186, 232)	(186, 232)	[(186, 232)]	78.26	78.26	1	(376, 514)	(376, 514)	[(376, 514)]	[(376, 514)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_3_length_896_cov_4.665446	(193, 232)	(193, 232)	[(193, 232)]	94.87	94.87	1	(518, 635)	(518, 635)	[(518, 635)]	[(518, 635)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_2_length_933_cov_5.700935	(263, 301)	(263, 301)	[(263, 301)]	81.58	81.58	-1	(418, 532)	(418, 532)	[(418, 532)]	[(418, 532)]	N/A
Hits with subsumed hits removed	Sarcophilus_harrisii-XM_003774508.4	301	NODE_4_length_810_cov_5.631651	(0, 70)	(0, 70)	[(0, 70)]	97.14	97.14	-1	(448, 658)	(448, 658)	[(448, 658)]	[(448, 658)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_5_length_745_cov_4.592814	(69, 107)	(69, 101)	[(69, 107)]	71.05	81.25	1	(422, 536)	(422, 518)	[(422, 536)]	[(422, 518)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_1_length_982_cov_7.655249	(98, 185)	(105, 185)	[(98, 150), (150, 185)]	90.8	98.75	-1	(416, 831)	(437, 831)	[(675, 831), (416, 521)]	[(675, 831), (437, 521)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_6_length_596_cov_4.913295	(186, 232)	(186, 232)	[(186, 232)]	78.26	78.26	1	(376, 514)	(376, 514)	[(376, 514)]	[(376, 514)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_2_length_933_cov_5.700935	(263, 301)	(263, 301)	[(263, 301)]	81.58	81.58	-1	(418, 532)	(418, 532)	[(418, 532)]	[(418, 532)]	N/A
Hits with subsumed hits removed and trimmed	Sarcophilus_harrisii-XM_003774508.4	301	NODE_4_length_810_cov_5.631651	(0, 70)	(0, 70)	[(0, 70)]	97.14	97.14	-1	(448, 658)	(448, 658)	[(448, 658)]	[(448, 658)]	3
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_5_length_745_cov_4.592814	(69, 107)	(69, 101)	[(69, 107)]	71.05	81.25	1	(422, 536)	(422, 518)	[(422, 536)]	[(422, 518)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_1_length_982_cov_7.655249	(98, 185)	(105, 185)	[(98, 150), (150, 185)]	90.8	98.75	-1	(416, 831)	(437, 831)	[(675, 831), (416, 521)]	[(675, 831), (437, 521)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_6_length_596_cov_4.913295	(186, 232)	(186, 232)	[(186, 232)]	78.26	78.26	1	(376, 514)	(376, 514)	[(376, 514)]	[(376, 514)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_2_length_933_cov_5.700935	(263, 301)	(263, 301)	[(263, 301)]	81.58	81.58	-1	(418, 532)	(418, 532)	[(418, 532)]	[(418, 532)]	N/A
