XM_031949197.1	192-195	COMPENSATION	FS_1	2	yes
XM_031949197.1	192-195	FS_DEL	-1	No
XM_031949197.1	232-232	G	T	yes
XM_031949197.1	234-234	G	A	yes
XM_031949197.1	231-234	FS_INS	+1	No
XM_031949197.1	256-256	G	T	yes
XM_031949197.1	257-257	C	G	yes
XM_031949197.1	258-258	G	A	yes
XM_031949197.1	322-322	C	T	yes
XM_031949197.1	324-324	G	A	yes
XM_031949197.1	381-384	FS_DEL	-1	No
XM_031949197.1	465-468	COMPENSATION	FS_4	5	yes
XM_031949197.1	465-468	FS_INS	+2	yes
XM_031949197.1	501-504	FS_INS	+1	yes
XM_031949197.1	613-613	C	T	yes
