Species_name,Inv,Vend,Vect,Vfish,Vunk,Scav,Fruit,Nect,Seed,PlantO
Homo_sapiens,10,0,0,0,0,0,60,0,0,30
Pan_troglodytes,10,0,0,0,0,0,60,0,0,30
Pan_paniscus,10,0,0,0,0,0,60,0,10,20
Gorilla_gorilla,0,0,0,0,0,0,10,0,0,90
Pongo_abelii,10,0,0,0,10,0,80,0,0,0
Nomascus_leucogenys,10,0,0,0,0,0,80,0,0,10
Chlorocebus_sabaeus,20,0,0,0,20,0,40,0,0,20
Macaca_fascicularis,50,0,0,0,0,0,40,0,0,10
Macaca_mulatta,10,0,0,0,0,0,30,0,20,40
Papio_anubis,10,40,0,0,0,0,20,0,0,30
Nasalis_larvatus,0,0,0,0,0,0,20,0,0,80
Rhinopithecus_roxellana,0,0,0,0,0,0,10,0,10,80
Callithrix_jacchus,20,0,0,0,10,0,30,40,0,0
Saimiri_boliviensis,20,0,0,0,20,0,20,0,20,20
Carlito_syrichta,100,0,0,0,0,0,0,0,0,0
Microcebus_murinus,20,0,20,0,0,0,30,10,0,20
Otolemur_garnettii,20,0,0,0,0,0,20,60,0,0
Mus_musculus,20,0,0,0,0,0,0,0,20,60
Rattus_norvegicus,30,0,0,0,0,0,20,0,40,10
Cricetulus_griseus,0,0,0,0,0,0,0,0,50,50
Dipodomys_ordii,20,0,0,0,0,0,20,0,30,30
Heterocephalus_glaber,0,0,0,0,0,0,0,0,0,100
Cavia_porcellus,0,0,0,0,0,0,0,0,0,100
Microtus_ochrogaster,0,0,0,0,0,0,0,0,20,80
Octodon_degus,0,0,0,0,0,0,20,0,20,60
Chinchilla_lanigera,0,0,0,0,0,0,0,0,0,100
Jaculus_jaculus,0,0,0,0,0,0,0,0,40,60
Mesocricetus_auratus,0,10,0,0,0,0,30,0,30,30
Spalax_galili,0,0,0,0,0,0,0,0,20,80
Fukomys_damarensis,0,0,0,0,0,0,0,0,0,100
Psammomys_obesus,0,0,0,0,0,0,0,0,0,100
Meriones_unguiculatus,20,0,0,0,0,0,10,0,20,50
Marmota_flaviventris,0,0,0,0,0,0,30,0,30,40
Spermophilus_tridecemlineatus,20,0,0,0,0,0,0,0,40,40
Oryctolagus_cuniculus,0,0,0,0,0,0,0,0,0,100
Ochotona_princeps,0,0,0,0,0,0,0,0,0,100
Galeopterus_variegatus,0,0,0,0,0,0,0,0,0,100
Erinaceus_europaeus,80,10,10,0,0,0,0,0,0,0
Condylura_cristata,80,0,0,20,0,0,0,0,0,0
Sorex_araneus,70,0,0,0,0,30,0,0,0,0
Sus_scrofa,10,0,0,0,10,10,0,0,10,60
Bos_taurus,0,0,0,0,0,0,0,0,0,100
Elaphurus_davidianus,0,0,0,0,0,0,0,0,0,100
Odocoileus_virginianus,0,0,0,0,0,0,0,0,10,90
Bison_bison,0,0,0,0,0,0,0,0,0,100
Capra_sibirica,0,0,0,0,0,0,0,0,0,100
Pseudois_nayaur,0,0,0,0,0,0,0,0,0,100
Pantholops_hodgsonii,0,0,0,0,0,0,0,0,0,100
Bubalus_bubalis,0,0,0,0,0,0,0,0,0,100
Ovis_aries,0,0,0,0,0,0,0,0,0,100
Okapia_johnstoni,0,0,0,0,0,0,0,0,0,100
Giraffa_camelopardalis,0,0,0,0,0,0,0,0,0,100
Orcinus_orca,25,50,0,25,0,0,0,0,0,0
Physeter_catodon,100,0,0,0,0,0,0,0,0,0
Delphinapterus_leucas,40,0,0,60,0,0,0,0,0,0
Lipotes_vexillifer,0,0,0,100,0,0,0,0,0,0
Lagenorhynchus_obliquidens,40,0,0,60,0,0,0,0,0,0
Neophocaena_asiaeorientalis,40,0,0,60,0,0,0,0,0,0
Tursiops_truncatus,20,0,0,80,0,0,0,0,0,0
Tursiops_aduncus,20,0,0,80,0,0,0,0,0,0
Eschrichtius_robustus,90,0,0,10,0,0,0,0,0,0
Balaenoptera_acutorostrata,70,0,0,30,0,0,0,0,0,0
Equus_caballus,0,0,0,0,0,0,0,0,0,100
Equus_asinus,0,0,0,0,0,0,0,0,0,100
Dicerorhinus_sumatrensis,0,0,0,0,0,0,50,0,0,50
Ceratotherium_simum,0,0,0,0,0,0,0,0,0,100
Eidolon_helvum,0,0,0,0,0,0,100,0,0,0
Pteropus_vampyrus,0,0,0,0,0,0,100,0,0,0
Pteropus_alecto,0,0,0,0,0,0,100,0,0,0
Rousettus_aegyptiacus,0,0,0,0,0,0,60,40,0,0
Cynopterus_sphinx,0,0,0,0,0,0,100,0,0,0
Macroglossus_minimus,0,0,0,0,0,0,20,80,0,0
Eonycteris_spelaea,0,0,0,0,0,0,0,100,0,0
Rousettus_leschenaultii,0,0,0,0,0,0,60,40,0,0
Diphylla_ecaudata,0,100,0,0,0,0,0,0,0,0
Desmodus_rotundus,0,100,0,0,0,0,0,0,0,0
Sturnira_lilium,0,0,0,0,0,0,100,0,0,0
Vampyrum_spectrum,10,80,0,0,0,0,10,0,0,0
Brachyphylla_cavernarum,10,0,0,0,0,0,70,10,0,10
Uroderma_bilobatum,10,0,0,0,0,0,80,10,0,0
Glossophaga_soricina,40,0,0,0,0,0,30,30,0,0
Trachops_cirrhosus,50,0,40,0,0,0,10,0,0,0
Rhinolophus_sinicus,80,0,0,0,0,0,0,0,10,10
Rhinolophus_ferrumequinum,100,0,0,0,0,0,0,0,0,0
Hipposideros_armiger,100,0,0,0,0,0,0,0,0,0
Pteronotus_parnellii,100,0,0,0,0,0,0,0,0,0
Eptesicus_fuscus,100,0,0,0,0,0,0,0,0,0
Myotis_davidii,100,0,0,0,0,0,0,0,0,0
Myotis_brandtii,100,0,0,0,0,0,0,0,0,0
Pipistrellus_pipistrellus,100,0,0,0,0,0,0,0,0,0
Miniopterus_natalensis,100,0,0,0,0,0,0,0,0,0
Miniopterus_fuliginosus,100,0,0,0,0,0,0,0,0,0
Canis_familiaris,0,100,0,0,0,0,0,0,0,0
Ailuropoda_melanoleuca,0,10,0,0,0,0,0,0,0,90
Ursus_americanus,0,10,0,10,0,0,50,0,0,30
Ursus_arctos,10,10,0,0,0,0,20,0,0,60
