species_name,SAMD9_gene_status
Acinonyx_jubatus,L
Ailuropoda_melanoleuca,L
Bison_bison,I
Bos_taurus,L
Canis_familiaris,L
Capra_sibirica,I
Cavia_porcellus,I
Ceratotherium_simum,I
Chinchilla_lanigera,I
Chlorocebus_sabaeus,I
Condylura_cristata,I
Cricetulus_griseus,I
Cynopterus_sphinx,I
Dasypus_novemcinctus,I
Delphinapterus_leucas,I
Desmodus_rotundus,I
Dicerorhinus_sumatrensis,I
Dipodomys_ordii,I
Eptesicus_fuscus,I
Equus_asinus,I
Equus_caballus,I
Erinaceus_europaeus,I
Eschrichtius_robustus,I
Felis_catus,L
Fukomys_damarensis,I
Galeopterus_variegatus,I
Giraffa_camelopardalis,I
Gorilla_gorilla,I
Heterocephalus_glaber,I
Hipposideros_armiger,I
Jaculus_jaculus,I
Macaca_mulatta,I
Marmota_flaviventris,I
Meriones_unguiculatus,I
Mesocricetus_auratus,I
Miniopterus_natalensis,I
Myotis_brandtii,I
Myotis_davidii,I
Nasalis_larvatus,L
Neophocaena_asiaeorientalis,I
Octodon_degus,I
Odocoileus_virginianus,I
Okapia_johnstoni,I
Orcinus_orca,I
Oryctolagus_cuniculus,I
Otolemur_garnettii,I
Ovis_aries,I
Pantholops_hodgsonii,I
Pan_troglodytes,I
Physeter_catodon,I
Pongo_abelii,I
Psammomys_obesus,I
Pteronotus_parnellii,I
Pteropus_alecto,I
Rattus_norvegicus,I
Rhinolophus_ferrumequinum,I
Rhinolophus_sinicus,I
Rhinopithecus_roxellana,L
Rousettus_aegyptiacus,I
Sorex_araneus,I
Spalax_galili,I
Spermophilus_tridecemlineatus,I
Sus_scrofa,I
Trachops_cirrhosus,I
Tursiops_aduncus,I
Ursus_americanus,L
Ursus_arctos,L
Ursus_maritimus,L
