Species_name,SAMD9_gene_status,Species_name,Inv,Vend,Vect,Vfish,Vunk,Scav,Fruit,Nect,Seed,PlantO
Acinonyx_jubatus,L,Acinonyx_jubatus,0,100,0,0,0,0,0,0,0,0
Ailuropoda_melanoleuca,L,Ailuropoda_melanoleuca,0,10,0,0,0,0,0,0,0,90
Bison_bison,I,Bison_bison,0,0,0,0,0,0,0,0,0,100
Bos_taurus,L,Bos_taurus,0,0,0,0,0,0,0,0,0,100
Canis_familiaris,L,Canis_familiaris,0,100,0,0,0,0,0,0,0,0
Capra_sibirica,I,Capra_sibirica,0,0,0,0,0,0,0,0,0,100
Cavia_porcellus,I,Cavia_porcellus,0,0,0,0,0,0,0,0,0,100
Ceratotherium_simum,I,Ceratotherium_simum,0,0,0,0,0,0,0,0,0,100
Chinchilla_lanigera,I,Chinchilla_lanigera,0,0,0,0,0,0,0,0,0,100
Chlorocebus_sabaeus,I,Chlorocebus_sabaeus,20,0,0,0,20,0,40,0,0,20
Condylura_cristata,I,Condylura_cristata,80,0,0,20,0,0,0,0,0,0
Cricetulus_griseus,I,Cricetulus_griseus,0,0,0,0,0,0,0,0,50,50
Cynopterus_sphinx,I,Cynopterus_sphinx,0,0,0,0,0,0,100,0,0,0
Dasypus_novemcinctus,I,Dasypus_novemcinctus,100,0,0,0,0,0,0,0,0,0
Delphinapterus_leucas,I,Delphinapterus_leucas,40,0,0,60,0,0,0,0,0,0
Desmodus_rotundus,I,Desmodus_rotundus,0,100,0,0,0,0,0,0,0,0
Dicerorhinus_sumatrensis,I,Dicerorhinus_sumatrensis,0,0,0,0,0,0,50,0,0,50
Dipodomys_ordii,I,Dipodomys_ordii,20,0,0,0,0,0,20,0,30,30
Eptesicus_fuscus,I,Eptesicus_fuscus,100,0,0,0,0,0,0,0,0,0
Equus_asinus,I,Equus_asinus,0,0,0,0,0,0,0,0,0,100
Equus_caballus,I,Equus_caballus,0,0,0,0,0,0,0,0,0,100
Erinaceus_europaeus,I,Erinaceus_europaeus,80,10,10,0,0,0,0,0,0,0
Eschrichtius_robustus,I,Eschrichtius_robustus,90,0,0,10,0,0,0,0,0,0
Felis_catus,L,Felis_catus,0,100,0,0,0,0,0,0,0,0
Fukomys_damarensis,I,Fukomys_damarensis,0,0,0,0,0,0,0,0,0,100
Galeopterus_variegatus,I,Galeopterus_variegatus,0,0,0,0,0,0,0,0,0,100
Giraffa_camelopardalis,I,Giraffa_camelopardalis,0,0,0,0,0,0,0,0,0,100
Gorilla_gorilla,I,Gorilla_gorilla,0,0,0,0,0,0,10,0,0,90
Heterocephalus_glaber,I,Heterocephalus_glaber,0,0,0,0,0,0,0,0,0,100
Hipposideros_armiger,I,Hipposideros_armiger,100,0,0,0,0,0,0,0,0,0
