# klumpy scan_alignments --alignment_map SRR11348531.bam --threads 32
Region_Number	Reference_Seq	Start	End	Number_of_Groups
1	NC_064256.1	0	50000	4
2	NC_064256.1	1450000	1550000	1,6,6
3	NC_064256.1	2000000	2100000	13,13,3
4	NC_064256.1	3650000	3725000	4,3
5	NC_064256.1	5050000	5125000	3,4
6	NC_064256.1	5500000	5575000	3,3
7	NC_064256.1	6875000	7300000	2,4,4,3,3,4,3,3,3,4,3,4,3,2
8	NC_064256.1	7925000	8000000	3,2
9	NC_064256.1	9525000	9600000	14,21
10	NC_064256.1	11300000	11450000	4,5,35,29
11	NC_064256.1	11850000	11925000	11,22
12	NC_064256.1	13125000	13200000	3,3
13	NC_064256.1	13525000	13600000	3,3
14	NC_064256.1	14950000	15025000	11,3
15	NC_064256.1	15100000	15175000	12,12
16	NC_064256.1	15250000	15325000	3,3
17	NC_064256.1	15825000	16025000	4,3,4,3,4,3
18	NC_064256.1	16675000	16750000	4,3
19	NC_064256.1	17800000	17875000	3,3
20	NC_064256.1	18125000	18200000	2,3
21	NC_064256.1	18775000	18850000	3,3
22	NC_064256.1	20350000	20425000	3,4
23	NC_064256.1	20525000	20600000	9,11
24	NC_064256.1	20650000	20750000	2,4,3
25	NC_064256.1	20875000	21025000	3,3,3,3
26	NC_064256.1	21300000	21375000	2,3
27	NC_064256.1	21425000	21500000	2,4
28	NC_064256.1	21575000	21700000	3,3,2,5
29	NC_064256.1	21825000	22025000	3,4,5,12,3,3
30	NC_064256.1	22325000	22400000	2,3
31	NC_064256.1	22425000	22525000	3,14,13
32	NC_064256.1	22625000	22750000	3,4,3,4
33	NC_064256.1	23250000	23325000	3,3
34	NC_064256.1	23650000	23725000	3,3
35	NC_064256.1	23750000	23825000	2,3
36	NC_064256.1	24475000	24525000	3
37	NC_064256.1	24650000	24725000	3,3
38	NC_064256.1	25300000	25375000	3,3
39	NC_064256.1	25400000	25475000	3,3
40	NC_064256.1	25575000	25650000	4,4
41	NC_064256.1	25675000	25750000	4,3
42	NC_064256.1	26375000	26450000	4,3
43	NC_064256.1	26500000	26575000	3,3
44	NC_064256.1	26875000	26950000	10,10
45	NC_064256.1	27425000	27500000	12,13
46	NC_064256.1	27775000	27850000	5,3
47	NC_064256.1	28725000	28800000	3,3
48	NC_064256.1	31925000	32000000	13,11
49	NC_064256.1	32425000	32550000	3,3,2,3
50	NC_064256.1	32775000	32900000	3,3,3,10
51	NC_064256.1	33050000	33125000	3,4
52	NC_064256.1	33300000	33375000	3,6
53	NC_064256.1	33675000	33750000	6,3
54	NC_064256.1	34050000	34125000	3,3
55	NC_064256.1	34175000	34325000	3,3,4,5
56	NC_064256.1	35025000	35175000	9,8,3,3
57	NC_064256.1	35200000	35275000	2,3
58	NC_064256.1	36150000	36225000	3,3
59	NC_064256.1	36525000	36600000	4,4
60	NC_064256.1	37300000	37400000	15,5,7
61	NC_064256.1	37450000	37500000	15
62	NC_064256.1	37550000	37650000	4,5,12
63	NC_064256.1	38025000	38100000	4,3
64	NC_064256.1	39275000	39350000	3,10
65	NC_064256.1	39700000	39775000	3,3
66	NC_064256.1	40475000	40600000	3,3,3,3
67	NC_064256.1	40675000	40775000	3,4,3
68	NC_064256.1	42250000	42325000	3,3
69	NC_064256.1	42400000	42475000	3,3
70	NC_064256.1	42575000	42650000	3,3
71	NC_064256.1	43850000	43925000	3,3
72	NC_064256.1	44525000	44600000	3,4
73	NC_064256.1	44650000	44725000	3,3
74	NC_064256.1	45550000	45625000	3,3
75	NC_064256.1	45875000	45950000	3,3
76	NC_064256.1	47250000	47325000	3,2
77	NC_064256.1	47650000	47725000	3,3
78	NC_064256.1	48250000	48325000	3,3
79	NC_064256.1	48400000	48475000	3,3
80	NC_064256.1	48800000	48875000	3,2
81	NC_064256.1	48975000	49050000	3,3
82	NC_064256.1	53875000	53950000	3,2
83	NC_064256.1	56350000	56425000	3,3
84	NC_064256.1	56700000	56775000	13,15
85	NC_064256.1	56825000	56900000	4,3
86	NC_064256.1	57700000	57775000	3,7
87	NC_064256.1	58450000	58525000	4,3
88	NC_064256.1	59350000	59425000	3,3
