	query_id	query_length	hit_id	query_HSP_range_limits_original	query_HSP_range_limits_trimmed	query_HSPFragment_ranges	hit_percent_similarity_original	hit_percent_similarity_trimmed	hit_strand	hit_HSP_range_limits_original	hit_HSP_range_limits_trimmed	hit_HSPFragment_ranges_original	hit_HSPFragment_ranges_trimmed	3-prime_bases_trimmed
Hits filtered > 55 percent similarity	Sarcophilus_harrisii-XM_003774508.4	301	NODE_5_length_726_cov_5.375963	(0, 70)	(0, 70)	[(0, 70)]	97.14	97.14	-1	(372, 582)	(372, 582)	[(372, 582)]	[(372, 582)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_6_length_589_cov_6.511719	(0, 70)	(5, 70)	[(0, 70)]	81.43	86.15	-1	(161, 371)	(176, 371)	[(161, 371)]	[(176, 371)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_1_length_1107_cov_7.468932	(98, 185)	(105, 185)	[(98, 150), (150, 185)]	90.8	98.75	-1	(398, 813)	(419, 813)	[(657, 813), (398, 503)]	[(657, 813), (419, 503)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_7_length_465_cov_4.028351	(186, 232)	(186, 232)	[(186, 232)]	76.09	76.09	1	(314, 452)	(314, 452)	[(314, 452)]	[(314, 452)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_4_length_777_cov_4.374286	(231, 271)	(231, 271)	[(231, 271)]	90.0	90.00	1	(371, 491)	(371, 491)	[(371, 491)]	[(371, 491)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_3_length_869_cov_4.178030	(231, 271)	(234, 271)	[(231, 271)]	60.0	62.16	-1	(390, 510)	(399, 510)	[(390, 510)]	[(399, 510)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_2_length_890_cov_5.255843	(263, 301)	(263, 301)	[(263, 301)]	81.58	81.58	1	(335, 449)	(335, 449)	[(335, 449)]	[(335, 449)]	N/A
Hits with subsumed hits removed	Sarcophilus_harrisii-XM_003774508.4	301	NODE_5_length_726_cov_5.375963	(0, 70)	(0, 70)	[(0, 70)]	97.14	97.14	-1	(372, 582)	(372, 582)	[(372, 582)]	[(372, 582)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_1_length_1107_cov_7.468932	(98, 185)	(105, 185)	[(98, 150), (150, 185)]	90.8	98.75	-1	(398, 813)	(419, 813)	[(657, 813), (398, 503)]	[(657, 813), (419, 503)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_7_length_465_cov_4.028351	(186, 232)	(186, 232)	[(186, 232)]	76.09	76.09	1	(314, 452)	(314, 452)	[(314, 452)]	[(314, 452)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_4_length_777_cov_4.374286	(231, 271)	(231, 271)	[(231, 271)]	90.0	90.00	1	(371, 491)	(371, 491)	[(371, 491)]	[(371, 491)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_2_length_890_cov_5.255843	(263, 301)	(263, 301)	[(263, 301)]	81.58	81.58	1	(335, 449)	(335, 449)	[(335, 449)]	[(335, 449)]	N/A
Hits with subsumed hits removed and trimmed	Sarcophilus_harrisii-XM_003774508.4	301	NODE_5_length_726_cov_5.375963	(0, 70)	(0, 70)	[(0, 70)]	97.14	97.14	-1	(372, 582)	(372, 582)	[(372, 582)]	[(372, 582)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_1_length_1107_cov_7.468932	(98, 185)	(105, 185)	[(98, 150), (150, 185)]	90.8	98.75	-1	(398, 813)	(419, 813)	[(657, 813), (398, 503)]	[(657, 813), (419, 503)]	N/A
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_7_length_465_cov_4.028351	(186, 232)	(186, 232)	[(186, 232)]	76.09	76.09	1	(314, 452)	(314, 452)	[(314, 452)]	[(314, 452)]	3
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_4_length_777_cov_4.374286	(231, 271)	(231, 271)	[(231, 271)]	90.0	90.00	1	(371, 491)	(371, 491)	[(371, 491)]	[(371, 491)]	24
	Sarcophilus_harrisii-XM_003774508.4	301	NODE_2_length_890_cov_5.255843	(263, 301)	(263, 301)	[(263, 301)]	81.58	81.58	1	(335, 449)	(335, 449)	[(335, 449)]	[(335, 449)]	N/A
