Dasyurus_viverrinus	one2one	I
Antechinus_flavipes	one2one	I
Lagorchestes_hirsutus	one2one	I
Dromiciops_gliroides	one2one	I
Macropus_fuliginosus	one2one	PI
Gracilinanus_agilis	one2one	I
Phalanger_gymnotis	one2one	I
Pseudocheirus_occidentalis	one2one	I
Notamacropus_eugenii	one2one	I
Monodelphis_domestica	one2one	I
Macropus_giganteus	one2one	I
Potorous_gilbertii	one2one	I
Macrotis_lagotis	one2one	I
Sminthopsis_crassicaudata	one2one	I
Pseudochirops_cupreus	one2one	I
Thylacinus_cynocephalus	one2zero	L
Myrmecobius_fasciatus	one2one	UL
Vombatus_ursinus	one2one	I
Pseudochirops_corinnae	one2one	I
Trichosurus_vulpecula	one2one	I
