target_id	length	eff_length	est_counts	tpm
LOC100919053-XP_023354218.1	2184	1907.35	291.495	2.49468
LOC100919053-XP_031807022.1	2058	1781.35	0	0
LOC116420914-XP_031805011.1	1593	1316.35	55.8158	0.692149
LOC105749646-XP_031805012.1	1578	1301.35	16.1994	0.203198
LOC100918791-XP_031807025.1	2166	1889.35	24.2841	0.209808
LOC116421482-XP_031807034.1	1059	782.347	3.01737	0.0629566
LOC100922713-XP_031807030.1	1872	1595.35	717.765	7.34412
LOC111718993-XP_031805013.1	951	674.383	7	0.169435
LOC100913756-XP_031807044.1	1467	1190.35	0	0
LOC105749010-XP_031805014.1	2418	2141.35	21.0605	0.160544
LOC105749000-XP_031807053.1	1365	1088.35	46.0191	0.690213
NUF2-XP_023354161.1	1383	1106.35	378.25	5.58085
NUF2-XP_031807063.1	1383	1106.35	378.25	5.58085
NUF2-XP_031807069.1	1383	1106.35	378.25	5.58085
NUF2-XP_003762728.1	1383	1106.35	378.25	5.58085
LOC111719491-XP_031805015.1	1551	1274.35	950.558	12.176
CHP2-XP_031807085.1	588	316.209	6306.44	325.554
BET1-XP_031807107.1	351	110.575	381	56.2444
LOC116421488-XP_031807092.1	1320	1043.35	7	0.109517
LOC100920799-XP_023354436.1	222	41.653	19.0284	7.4571
LOC100920799-XP_031807137.1	222	41.653	19.0284	7.4571
LOC100920799-XP_012399608.1	222	41.653	19.0284	7.4571
LOC100920799-XP_031807117.1	252	51.3503	2.91469	0.926537
GNGT1-XP_003763123.1	225	42.674	3	1.14755
TFPI2-XP_031805017.1	1227	950.347	11	0.18894
CALCR-[transl_except=(pos:1132..1134,aa:Other)	1404	1127.35	45	0.65158
LOC116420915-XP_031805018.1	597	324.703	5	0.25136
VPS50-[exception=unclassified-translation-discrepancy	2697	2420.35	5319	35.8728
HEPACAM2-XP_031805020.1	1176	899.347	125	2.2688
UBP1-XP_031807200.1	1557	1280.35	41.453	0.528495
UBP1-XP_031807193.1	1578	1301.35	0	0
UBP1-XP_031807183.1	1665	1388.35	9.44004e-05	1.10991e-06
UBP1-XP_031807166.1	1686	1409.35	96.3	1.11538
UBP1-XP_031807177.1	1668	1391.35	113.532	1.33197
UBP1-XP_031807161.1	1686	1409.35	114.237	1.32313
UBP1-XP_031807156.1	1689	1412.35	2.35342e-05	2.72001e-07
UBP1-XP_031807188.1	1584	1307.35	192.45	2.40292
UBP1-XP_031807206.1	1425	1148.35	493.014	7.00807
UBP1-XP_031807214.1	1425	1148.35	493.014	7.00807
CLASP2-XP_031805021.1	5196	4919.35	5482	18.1905
PDCD6IP-XP_031807222.1	2634	2357.35	5663	39.2135
LOC116420917-XP_031805022.1	1497	1220.35	175	2.34082
ARPP21-XP_031807240.1	2508	2231.35	0.892804	0.00653133
ARPP21-XP_031807287.1	2508	2231.35	0.892804	0.00653133
ARPP21-XP_031807248.1	2505	2228.35	4.68387	0.0343111
ARPP21-XP_031807263.1	2412	2135.35	0	0
ARPP21-XP_031807268.1	2409	2132.35	0	0
ARPP21-XP_031807255.1	2448	2171.35	0.555549	0.00417644
ARPP21-XP_031807323.1	2445	2168.35	3.05124	0.02297
ARPP21-XP_031807272.1	2406	2129.35	1.14193	0.008754
ARPP21-XP_031807317.1	2403	2126.35	6.48628	0.0497937
ARPP21-XP_031807294.1	2307	2030.35	0	0
ARPP21-XP_031807281.1	2346	2069.35	0.701895	0.00553671
ARPP21-XP_031807333.1	2343	2066.35	4.19291	0.0331227
ARPP21-XP_031807301.1	2247	1970.35	0	0
ARPP21-XP_031807307.1	861	584.553	7.23384	0.202003
ARPP21-XP_031807314.1	270	57.5164	8.16688	2.31781
STAC-XP_031807346.1	1233	956.347	21.2149	0.362108
STAC-XP_023354287.2	1329	1052.35	12.7851	0.198316
LOC116421873-XP_031811797.1	1311	1034.35	7	0.11047
DCLK3-XP_031812819.1	2373	2096.35	10	0.0778663
TRANK1-[exception=unclassified-translation-discrepancy	9264	8987.35	5307	9.63897
LOC116421506-XP_031807355.1	471	208.265	243	19.0459
IPPK-XP_031814412.1	1521	1244.35	1025	13.4461
CENPP-XP_031815278.1	1203	926.347	221	3.89432
ECM2-XP_031807365.1	1704	1427.35	77.9075	0.890969
ECM2-XP_031807375.1	1671	1394.35	24.5552	0.287465
ECM2-XP_031807379.1	1638	1361.35	66.5373	0.797827
ASPN-XP_031807401.1	1128	851.347	59.6667	1.14403
ASPN-XP_031807404.1	1128	851.347	59.6667	1.14403
