	query_id	query_length	hit_id	query_HSP_range_limits_original	query_HSP_range_limits_trimmed	query_HSPFragment_ranges	hit_percent_similarity_original	hit_percent_similarity_trimmed	hit_strand	hit_HSP_range_limits_original	hit_HSP_range_limits_trimmed	hit_HSPFragment_ranges_original	hit_HSPFragment_ranges_trimmed	3-prime_bases_trimmed
Hits filtered > 55 percent similarity	Sarcophilus_harrisii-XM_003768930.3	878	NODE_5_length_313_cov_5.271186	(92, 171)	(92, 168)	[(92, 171)]	83.54	86.84	-1	(74, 311)	(74, 302)	[(74, 311)]	[(74, 302)]	N/A
	Sarcophilus_harrisii-XM_003768930.3	878	NODE_2_length_1019_cov_4.634820	(237, 360)	(237, 360)	[(237, 302), (303, 360)]	83.06	83.06	-1	(158, 660)	(158, 660)	[(466, 660), (158, 330)]	[(466, 660), (158, 330)]	N/A
	Sarcophilus_harrisii-XM_003768930.3	878	NODE_3_length_825_cov_4.328877	(348, 437)	(348, 437)	[(348, 355), (355, 397), (397, 402), (402, 437)]	87.64	87.64	1	(103, 620)	(103, 620)	[(103, 124), (125, 251), (499, 514), (515, 620)]	[(103, 124), (125, 251), (499, 514), (515, 620)]	N/A
	Sarcophilus_harrisii-XM_003768930.3	878	NODE_4_length_342_cov_5.271698	(435, 497)	(435, 497)	[(435, 497)]	88.71	88.71	1	(132, 318)	(132, 318)	[(132, 318)]	[(132, 318)]	N/A
	Sarcophilus_harrisii-XM_003768930.3	878	NODE_1_length_2786_cov_4.379476	(495, 878)	(495, 878)	[(495, 539), (540, 590), (591, 621), (622, 705), (705, 718), (718, 764), (765, 823), (823, 878)]	85.01	85.01	-1	(92, 2315)	(92, 2315)	[(2182, 2315), (1845, 1998), (1643, 1736), (1268, 1519), (1227, 1266), (835, 975), (463, 638), (92, 257)]	[(2182, 2315), (1845, 1998), (1643, 1736), (1268, 1519), (1227, 1266), (835, 975), (463, 638), (92, 257)]	N/A
Hits with subsumed hits removed	Sarcophilus_harrisii-XM_003768930.3	878	NODE_5_length_313_cov_5.271186	(92, 171)	(92, 168)	[(92, 171)]	83.54	86.84	-1	(74, 311)	(74, 302)	[(74, 311)]	[(74, 302)]	N/A
	Sarcophilus_harrisii-XM_003768930.3	878	NODE_2_length_1019_cov_4.634820	(237, 360)	(237, 360)	[(237, 302), (303, 360)]	83.06	83.06	-1	(158, 660)	(158, 660)	[(466, 660), (158, 330)]	[(466, 660), (158, 330)]	N/A
	Sarcophilus_harrisii-XM_003768930.3	878	NODE_3_length_825_cov_4.328877	(348, 437)	(348, 437)	[(348, 355), (355, 397), (397, 402), (402, 437)]	87.64	87.64	1	(103, 620)	(103, 620)	[(103, 124), (125, 251), (499, 514), (515, 620)]	[(103, 124), (125, 251), (499, 514), (515, 620)]	N/A
	Sarcophilus_harrisii-XM_003768930.3	878	NODE_4_length_342_cov_5.271698	(435, 497)	(435, 497)	[(435, 497)]	88.71	88.71	1	(132, 318)	(132, 318)	[(132, 318)]	[(132, 318)]	N/A
	Sarcophilus_harrisii-XM_003768930.3	878	NODE_1_length_2786_cov_4.379476	(495, 878)	(495, 878)	[(495, 539), (540, 590), (591, 621), (622, 705), (705, 718), (718, 764), (765, 823), (823, 878)]	85.01	85.01	-1	(92, 2315)	(92, 2315)	[(2182, 2315), (1845, 1998), (1643, 1736), (1268, 1519), (1227, 1266), (835, 975), (463, 638), (92, 257)]	[(2182, 2315), (1845, 1998), (1643, 1736), (1268, 1519), (1227, 1266), (835, 975), (463, 638), (92, 257)]	N/A
Hits with subsumed hits removed and trimmed	Sarcophilus_harrisii-XM_003768930.3	878	NODE_5_length_313_cov_5.271186	(92, 171)	(92, 168)	[(92, 171)]	83.54	86.84	-1	(74, 311)	(74, 302)	[(74, 311)]	[(74, 302)]	N/A
	Sarcophilus_harrisii-XM_003768930.3	878	NODE_2_length_1019_cov_4.634820	(237, 360)	(237, 360)	[(237, 302), (303, 360)]	83.06	83.06	-1	(158, 660)	(158, 660)	[(466, 660), (158, 330)]	[(466, 660), (158, 330)]	36
	Sarcophilus_harrisii-XM_003768930.3	878	NODE_3_length_825_cov_4.328877	(348, 437)	(348, 437)	[(348, 355), (355, 397), (397, 402), (402, 437)]	87.64	87.64	1	(103, 620)	(103, 620)	[(103, 124), (125, 251), (499, 514), (515, 620)]	[(103, 124), (125, 251), (499, 514), (515, 620)]	6
	Sarcophilus_harrisii-XM_003768930.3	878	NODE_4_length_342_cov_5.271698	(435, 497)	(435, 497)	[(435, 497)]	88.71	88.71	1	(132, 318)	(132, 318)	[(132, 318)]	[(132, 318)]	6
	Sarcophilus_harrisii-XM_003768930.3	878	NODE_1_length_2786_cov_4.379476	(495, 878)	(495, 878)	[(495, 539), (540, 590), (591, 621), (622, 705), (705, 718), (718, 764), (765, 823), (823, 878)]	85.01	85.01	-1	(92, 2315)	(92, 2315)	[(2182, 2315), (1845, 1998), (1643, 1736), (1268, 1519), (1227, 1266), (835, 975), (463, 638), (92, 257)]	[(2182, 2315), (1845, 1998), (1643, 1736), (1268, 1519), (1227, 1266), (835, 975), (463, 638), (92, 257)]	N/A
