Gene	Test	LRT	p_value	K
SAMD9	Thylacinus_cynocephalus	8.08454625345621	0.004464430743931214	0.1850084245957492
SAMD9L	Thylacinus_cynocephalus	2.252593937795609	0.1333906385243385	1.286984537498774
CUZD1	Thylacinus_cynocephalus	53.03373897792699	3.278488591718087e-13	4.115427688092979
VWA7	Thylacinus_cynocephalus	6.289908072423714	0.01214273492002271	0.4217941190439551
HSD17B13	Thylacinus_cynocephalus	0.4246765388197673	0.5146127183421798	0.6793153254210752
XM_003754957.2	Thylacinus_cynocephalus	2.137866796994786	0.1437015924354238	0.4617291181740045
XM_003758688.3	Thylacinus_cynocephalus	3.436436130587026	0.06377311768340999	4.189074302366453
XM_003764108.1	Thylacinus_cynocephalus	31.91166611615336	1.613452171866925e-08	6.521162675245373e-06
XM_003764667.2	Thylacinus_cynocephalus	1.199124657750872	0.2734967012667672	0.7914077102493842
XM_003764724.3	Thylacinus_cynocephalus	1.891762558479968	0.169003256499774	0.01939186160315309
XM_003764824.1	Thylacinus_cynocephalus	0.5241232135595055	0.4690881165116325	1.460983906312102
XM_003764837.2	Thylacinus_cynocephalus	2.110243433889991	0.1463160404869868	0.6835195680504944
XM_003764838.1	Thylacinus_cynocephalus	1.078437313715767	0.299047402807213	0.7133095335134297
XM_003764870.2	Thylacinus_cynocephalus	2.861622810280096	0.09071593642290776	0.3414755673476537
XM_003766079.2	Thylacinus_cynocephalus	2.499659868328308	0.1138708887699991	1.4638945231785
XM_003766452.3	Thylacinus_cynocephalus	15.87184588699529	6.777955899650578e-05	3.425384686073249e-06
XM_003766554.3	Thylacinus_cynocephalus	2.268054167156151	0.1320656253801529	9.83640259256109
XM_003766784.2	Thylacinus_cynocephalus	17.46185248525217	2.931309498543921e-05	2.22002193697903e-05
XM_003766927.1	Thylacinus_cynocephalus	0.2843443675737944	0.593867799560766	0.80498050396854
XM_003767896.2	Thylacinus_cynocephalus	2.529348672416745	0.1117463338246755	0.4359374085365865
XM_003769589.4	Thylacinus_cynocephalus	0.2749690847485908	0.6000177783615326	2.301422555224997e-05
XM_003771689.4	Thylacinus_cynocephalus	0.4035860417516233	0.5252430626456879	0.8685827303087543
XM_003772473.1	Thylacinus_cynocephalus	0.06378253936418332	0.8006143853615514	0.9169467622210982
XM_003773524.2	Thylacinus_cynocephalus	3.410742430349273	0.064773298266246	0.5938102336075883
XM_003773785.1	Thylacinus_cynocephalus	0.2135145975025807	0.6440265350468141	1.234180714911114
XM_003773815.2	Thylacinus_cynocephalus	0.7765091017809027	0.3782109114259276	0.4595491171489008
XM_003773817.1	Thylacinus_cynocephalus	2.622445527473246	0.1053619460876695	3.262549216498547
XM_003774308.2	Thylacinus_cynocephalus	1.025405251217308	0.3112402906106277	1.21106744750306
XM_003774751.4	Thylacinus_cynocephalus	1.898961612354469	0.1681945937742285	0.7051447811430372
XM_003775312.4	Thylacinus_cynocephalus	2.165978386926326	0.1410947948345639	3.807772569261681
XM_012543129.3	Thylacinus_cynocephalus	0.004487132571739494	0.9465927987806735	0.9788244145283562
XM_012544056.1	Thylacinus_cynocephalus	6.309962396767332	0.01200613858780186	0.3736419142467514
XM_012544240.2	Thylacinus_cynocephalus	0.001008415267278906	0.9746669907946238	1.011243321643638
XM_012544853.3	Thylacinus_cynocephalus	0.9101042415022675	0.3400867619489406	0.1950217452727836
XM_012545098.3	Thylacinus_cynocephalus	0.9648292037672945	0.3259731551136953	1.972736475280674
