Species_name	dN	dS	omega
Antechinus_flavipes	0.004865	0.027520	0.176781
Dasyurus_viverrinus	0.001040	0.002573	0.404197
Dromiciops_gliroides	0.036758	0.100307	0.366455
Gracilinanus_agilis	0.012769	0.050970	0.25052
Lagorchestes_hirsutus	0.006369	0.014425	0.441525
Macropus_fuliginosus	0.000000	0.000005	0
Macropus_giganteus	0.000000	0.002847	0
Macrotis_lagotis	0.040437	0.133027	0.303976
Monodelphis_domestica	0.011199	0.056247	0.199104
Myrmecobius_fasciatus	0.022158	0.073503	0.301457
Notamacropus_eugenii	0.002098	0.005666	0.370279
Phalanger_gymnotis	0.017028	0.030854	0.55189
Potorous_gilbertii	0.013067	0.025361	0.51524
Pseudocheirus_occidentalis	0.043457	0.093287	0.465842
Sarcophilus_harrisii	0.003120	0.008900	0.350562
Sminthopsis_crassicaudata	0.012355	0.019379	0.637546
Thylacinus_cynocephalus	0.172612	0.245973	0.701752
Trichosurus_vulpecula	0.005182	0.027842	0.186122
Vombatus_ursinus	0.035938	0.091881	0.391136
