target_id	length	eff_length	est_counts	tpm
DUN_000001-T1	1942	1685.38	0	0
DUN_000002-T1	200	32.1775	0	0
DUN_000003-T1	420	170.631	0	0
DUN_000004-T1	158	24.4168	0	0
DUN_000005-T1	365	119.746	0	0
DUN_000006-T1	435	184.822	1.07634	0.190154
DUN_000007-T1	189	30.2812	5	5.39145
DUN_000008-T1	73	26.5392	0	0
DUN_000009-T1	387	139.713	4	0.934828
DUN_000010-T1	234	39.137	0	0
DUN_000011-T1	79	23.774	5.80496	7.97271
DUN_000012-T1	828	571.859	26.0922	1.48981
DUN_000013-T1	162	25.2068	0	0
DUN_000014-T1	774	518.08	177	11.1554
DUN_000015-T1	636	380.887	0	0
DUN_000016-T1	162	25.2068	107287	138975
DUN_000017-T1	276	54.549	0	0
DUN_000018-T1	79	23.774	0	0
DUN_000019-T1	197	31.5571	0	0
DUN_000020-T1	73	26.5392	0	0
DUN_000021-T1	73	26.5392	0	0
DUN_000022-T1	79	23.774	0	0
DUN_000023-T1	416	166.838	4	0.782839
DUN_000024-T1	2670	2413.38	3694	49.9782
DUN_000025-T1	3249	2992.38	829	9.0458
DUN_000026-T1	543	289.236	2	0.22578
DUN_000027-T1	384	136.927	158	37.6771
DUN_000028-T1	291	62.7121	0	0
DUN_000029-T1	714	458.353	0	0
DUN_000030-T1	85	21.8654	0	0
DUN_000031-T1	1113	856.378	18	0.686303
DUN_000032-T1	72	26.5816	0	0
DUN_000033-T1	79	23.774	0	0
DUN_000034-T1	231	38.4975	6	5.08894
DUN_000035-T1	73	26.5392	0	0
DUN_000036-T1	73	26.5392	0	0
DUN_000037-T1	228	37.7285	5	4.32722
DUN_000038-T1	73	26.5392	0	0
DUN_000039-T1	73	26.5392	1.49865	1.84383
DUN_000040-T1	165	25.8223	2	2.52897
DUN_000041-T1	78	23.4155	0	0
DUN_000042-T1	228	37.7285	0	0
DUN_000043-T1	378	131.419	0	0
DUN_000044-T1	240	40.6894	4	3.20987
DUN_000045-T1	74	25.8349	0	0
DUN_000046-T1	73	26.5392	0	0
DUN_000047-T1	1071	814.378	40	1.60377
DUN_000048-T1	73	26.5392	0	0
DUN_000049-T1	73	26.5392	0	0
DUN_000050-T1	73	26.5392	1	1.23033
DUN_000051-T1	2898	2641.38	3528	43.6121
DUN_000052-T1	243	41.5921	37	29.0469
DUN_000053-T1	255	45.4838	0	0
DUN_000054-T1	73	26.5392	0	0
DUN_000055-T1	79	23.774	0	0
DUN_000056-T1	73	26.5392	0	0
DUN_000057-T1	73	26.5392	0	0
DUN_000058-T1	1383	1126.38	79	2.29009
DUN_000059-T1	79	23.774	0.350374	0.481215
DUN_000060-T1	411	162.139	66	13.2912
DUN_000061-T1	957	700.448	397	18.5064
DUN_000062-T1	330	90.1073	180	65.226
DUN_000063-T1	1545	1288.38	2844	72.0767
DUN_000064-T1	279	56.0963	2	1.16414
DUN_000065-T1	960	703.441	1	0.0464174
DUN_000066-T1	582	327.548	0	0
DUN_000067-T1	294	64.4917	0	0
DUN_000068-T1	246	42.4629	0	0
DUN_000069-T1	79	23.774	0	0
DUN_000070-T1	240	40.6894	0	0
DUN_000071-T1	1116	859.378	1004	38.1468
DUN_000072-T1	73	26.5392	0	0
DUN_000073-T1	73	26.5392	0	0
DUN_000074-T1	237	39.8829	6	4.91217
DUN_000075-T1	204	32.7395	843	840.744
DUN_000076-T1	693	437.502	36	2.68677
DUN_000077-T1	80	23.1083	0	0
DUN_000078-T1	1143	886.378	358	13.1878
DUN_000079-T1	388	140.631	8	1.85745
DUN_000080-T1	190	30.4421	4	4.29036
DUN_000081-T1	4221	3964.38	3564	29.3543
DUN_000082-T1	1467	1210.38	838	22.6064
DUN_000083-T1	4338	4081.38	102	0.816022
DUN_000084-T1	77	25.063	0	0
DUN_000085-T1	79	23.774	1	1.37343
DUN_000086-T1	258	46.572	0	0
DUN_000087-T1	276	54.549	0	0
DUN_000088-T1	201	32.3566	0	0
DUN_000089-T1	221	36.047	0	0
DUN_000090-T1	207	33.2718	0	0
DUN_000091-T1	73	26.5392	0	0
DUN_000092-T1	750	494.223	2	0.132134
DUN_000093-T1	513	259.949	2	0.251218
DUN_000094-T1	648	392.809	14	1.16374
DUN_000095-T1	660	404.719	6	0.484067
DUN_000096-T1	270	51.6384	0	0
DUN_000097-T1	732	476.268	32	2.19385
DUN_000098-T1	735	479.263	3	0.204388
DUN_000099-T1	1032	775.378	28	1.17911
DUN_000100-T1	73	26.5392	0	0
DUN_000101-T1	659	403.719	0	0
DUN_000102-T1	163	25.4724	0	0
DUN_000103-T1	393	145.272	4199	943.783
DUN_000104-T1	195	31.193	0	0
DUN_000105-T1	405	156.494	271	56.5433
DUN_000106-T1	8739	8482.38	2252	8.66881
DUN_000107-T1	1944	1687.38	290	5.6117
DUN_000108-T1	318	80.8847	363.756	146.843
DUN_000109-T1	357	112.724	0	0
DUN_000110-T1	231	38.4975	0	0
DUN_000111-T1	555	301.019	0	0
DUN_000112-T1	384	136.927	0	0
DUN_000113-T1	228	37.7285	0	0
DUN_000114-T1	73	26.5392	0	0
DUN_000115-T1	1071	814.378	15	0.601415
DUN_000116-T1	462	210.571	0	0
DUN_000117-T1	1605	1348.38	28	0.67804
DUN_000118-T1	237	39.8829	0	0
DUN_000119-T1	657	401.737	35	2.84469
DUN_000120-T1	1074	817.378	183	7.31033
DUN_000121-T1	91	19.551	0	0
DUN_000122-T1	2391	2134.38	435	6.65467
DUN_000123-T1	240	40.6894	32	25.679
DUN_000124-T1	717	461.34	194	13.7306
DUN_000125-T1	327	87.7331	0	0
DUN_000126-T1	3042	2785.38	124	1.4536
DUN_000127-T1	3507	3250.38	1096	11.01
DUN_000128-T1	534	280.44	39	4.54081
DUN_000129-T1	1059	802.378	18	0.732491
DUN_000130-T1	798	541.978	7	0.421721
DUN_000131-T1	321	83.1336	7	2.74935
DUN_000132-T1	1482	1225.38	1294	34.4804
DUN_000133-T1	73	26.5392	0	0
DUN_000134-T1	79	23.774	0	0
DUN_000135-T1	1002	745.378	0	0
DUN_000136-T1	243	41.5921	0	0
DUN_000137-T1	297	66.3359	0	0
DUN_000138-T1	414	164.965	0	0
DUN_000139-T1	216	35.0227	0	0
DUN_000140-T1	2610	2353.38	23	0.319113
DUN_000141-T1	222	36.3112	0	0
DUN_000142-T1	1110	853.378	0	0
DUN_000143-T1	1845	1588.38	0	0
DUN_000144-T1	73	26.5392	0	0
DUN_000145-T1	1818	1561.38	0	0
DUN_000146-T1	1986	1729.38	0	0
DUN_000147-T1	1849	1592.38	0	0
DUN_000148-T1	915	658.582	131	6.49486
DUN_000149-T1	264	49.0196	4	2.6644
DUN_000150-T1	216	35.0227	0	0
DUN_000151-T1	1689	1432.38	13	0.296343
DUN_000152-T1	2082	1825.38	88	1.57412
DUN_000153-T1	2283	2026.38	169	2.72317
DUN_000154-T1	927	670.553	132	6.42761
DUN_000155-T1	510	257.02	73	9.27396
DUN_000156-T1	2175	1918.38	0	0
DUN_000157-T1	396	148.102	0	0
DUN_000158-T1	300	68.2673	0	0
DUN_000159-T1	1527	1270.38	1	0.0257025
DUN_000160-T1	4071	3814.38	0	0
DUN_000161-T1	234	39.137	0	0
DUN_000162-T1	79	23.774	0	0
DUN_000163-T1	483	230.798	125	17.6843
DUN_000164-T1	1533	1276.38	19	0.486052
DUN_000165-T1	83	22.5326	2.12642	3.08138
DUN_000166-T1	74	25.8349	0	0
DUN_000167-T1	91	19.551	0	0
DUN_000168-T1	198	31.7924	0	0
DUN_000169-T1	1295	1038.38	0	0
DUN_000170-T1	79	23.774	0	0
DUN_000171-T1	177	28.1319	0	0
DUN_000172-T1	221	36.047	0	0
DUN_000173-T1	1368	1111.38	3027	88.9323
DUN_000174-T1	1071	814.378	2	0.0801886
DUN_000175-T1	3240	2983.38	50	0.547231
DUN_000176-T1	699	443.456	0	0
DUN_000177-T1	1047	790.378	0	0
DUN_000178-T1	318	80.8847	0	0
DUN_000179-T1	82	22.7701	0	0
DUN_000180-T1	79	23.774	7	9.61402
DUN_000181-T1	1956	1699.38	245	4.70744
DUN_000182-T1	82	22.7701	0	0
DUN_000183-T1	1152	895.378	170	6.19942
DUN_000184-T1	312	76.5236	40	17.0676
DUN_000185-T1	267	50.2816	117	75.9776
DUN_000186-T1	1140	883.378	977	36.1124
DUN_000187-T1	603	348.226	40	3.75066
DUN_000188-T1	1539	1282.38	52	1.32402
DUN_000189-T1	79	23.774	2.11953	2.91103
