Acc	Species_name	Internal_stop_codon	frameshifts	Annotated_introns	Coverage	GC_content	Note_comment
XM_011955057.1	                     Colobus angolensis palliatus	Yes	Yes	No		36.12	The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: inserted 2 bases in 1 codon; deleted 3 bases in 2 codons; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 mRNA, 48 ESTs, 6 Proteins The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: inserted 2 bases in 1 codon; deleted 3 bases in 2 codons; substituted 2 bases at 2 genomic stop codons
XM_050785355.1	                     Macaca thibetana thibetana	Yes	No	No		36.31	sterile alpha motif domain containing 9; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 3 mRNAs, 85 ESTs, 6 Proteins The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: substituted 2 bases at 2 genomic stop codons
XM_017870301.1	                     Rhinopithecus bieti	Yes	Yes	Yes	96%	35.94	The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: inserted 11 bases in 7 codons; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 58 ESTs, 6 Proteins, and 96% coverage of the annotated genomic feature by RNAseq alignments, including 3 samples with support for all annotated introns The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: inserted 11 bases in 7 codons; substituted 5 bases at 5 genomic stop codons
XM_053722205.1	                     Lynx rufus	Yes	Yes	No	45%	34.37	sterile alpha motif domain containing 9; The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: inserted 10 bases in 9 codons; deleted 4 bases in 3 codons; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 Protein, and 45% coverage of the annotated genomic feature by RNAseq alignments The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: inserted 10 bases in 9 codons; deleted 4 bases in 3 codons; substituted 24 bases at 24 genomic stop codons
XM_035723213.1	                     Zalophus californianus	Yes	Yes	No		37.30	The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: inserted 22 bases in 16 codons; deleted 10 bases in 7 codons; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 Protein The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: inserted 22 bases in 16 codons; deleted 10 bases in 7 codons; substituted 18 bases at 18 genomic stop codons
XM_030307959.1	                     Lynx canadensis	Yes	Yes	Yes	74%	35.23	The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: inserted 4 bases in 3 codons; deleted 3 bases in 2 codons; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 Protein, and 74% coverage of the annotated genomic feature by RNAseq alignments, including 51 samples with support for all annotated introns The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: inserted 4 bases in 3 codons; deleted 3 bases in 2 codons; substituted 7 bases at 7 genomic stop codons
XM_073582013.1	                     Dendrobates tinctorius	Yes	Yes	No		36.39	sterile alpha motif domain containing 9; The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: inserted 4 bases in 3 codons; deleted 3 bases in 2 codons; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 5 Proteins The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: inserted 4 bases in 3 codons; deleted 3 bases in 2 codons; substituted 4 bases at 4 genomic stop codons
XM_053447904.1	                     Prionailurus viverrinus	Yes	Yes	No	26%	34.65	sterile alpha motif domain containing 9; The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: inserted 11 bases in 9 codons; deleted 4 bases in 3 codons; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 Protein, and 26% coverage of the annotated genomic feature by RNAseq alignments The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: inserted 11 bases in 9 codons; deleted 4 bases in 3 codons; substituted 25 bases at 25 genomic stop codons
XM_033194382.1	                     Trachypithecus francoisi	Yes	Yes	Yes	97%	36.04	The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: inserted 4 bases in 4 codons; deleted 1 base in 1 codon; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 59 ESTs, 7 Proteins, and 97% coverage of the annotated genomic feature by RNAseq alignments, including 8 samples with support for all annotated introns The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: inserted 4 bases in 4 codons; deleted 1 base in 1 codon; substituted 7 bases at 7 genomic stop codons
XM_030932323.1	                     Rhinopithecus roxellana	Yes	Yes	Yes	98%	36.02	The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: inserted 4 bases in 2 codons; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 67 ESTs, 6 Proteins, and 98% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: inserted 4 bases in 2 codons; substituted 4 bases at 4 genomic stop codons
XM_021689530.1	                     Neomonachus schauinslandi	Yes	Yes	No		35.80	The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: inserted 19 bases in 14 codons; deleted 6 bases in 4 codons; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 Protein The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: inserted 19 bases in 14 codons; deleted 6 bases in 4 codons; substituted 24 bases at 24 genomic stop codons
XM_027540174.1	                     Bos indicus x Bos taurus	No	Yes	Yes	99%	36.94	The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: inserted 4 bases in 4 codons; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 13 ESTs, 2 Proteins, and 99% coverage of the annotated genomic feature by RNAseq alignments, including 7 samples with support for all annotated introns The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: inserted 4 bases in 4 codons
XM_030822087.1	                     Nomascus leucogenys	No	Yes	Yes	90%	36.67	The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: deleted 1 base in 1 codon; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 74 ESTs, 7 Proteins, and 90% coverage of the annotated genomic feature by RNAseq alignments, including 4 samples with support for all annotated introns The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: deleted 1 base in 1 codon
XM_036247044.1	                     Molossus molossus	Yes	No	Yes	99%	36.29	Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 mRNA, 13 Proteins, and 99% coverage of the annotated genomic feature by RNAseq alignments, including 7 samples with support for all annotated introns The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon
XM_005371766.3	                     Microtus ochrogaster	No	Yes	Yes	100%	38.74	The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: inserted 1 base in 1 codon; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 5 Proteins, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 18 samples with support for all annotated introns The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: inserted 1 base in 1 codon
XM_025929280.1	                     Puma concolor	Yes	Yes	No		35.28	The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: inserted 10 bases in 8 codons; deleted 6 bases in 4 codons; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 Protein The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: inserted 10 bases in 8 codons; deleted 6 bases in 4 codons; substituted 25 bases at 25 genomic stop codons
XM_050129956.1	                     Alexandromys fortis	No	Yes	No		38.72	4th-generation inbreeding gene 1..5038 gene=Samd9 sterile alpha motif domain containing 9; The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: deleted 1 base in 1 codon; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 7 Proteins The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: deleted 1 base in 1 codon
XM_032761063.2	                     Hylobates moloch	Yes	Yes	No		36.44	Lionel gene 1..6780 gene=SAMD9 sterile alpha motif domain containing 9; The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: deleted 1 base in 1 codon; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 7 Proteins The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: deleted 1 base in 1 codon; substituted 1 base at 1 genomic stop codon
XM_037836670.1	                     Choloepus didactylus	Yes	Yes	Yes	99%	36.72	The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: inserted 5 bases in 4 codons; deleted 1 base in 1 codon; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 8 Proteins, and 99% coverage of the annotated genomic feature by RNAseq alignments, including 2 samples with support for all annotated introns The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: inserted 5 bases in 4 codons; deleted 1 base in 1 codon; substituted 1 base at 1 genomic stop codon
XM_023226758.2	                     Piliocolobus tephrosceles	Yes	Yes	No	94%	36.27	The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: inserted 6 bases in 4 codons; deleted 3 bases in 2 codons; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 57 ESTs, 6 Proteins, and 94% coverage of the annotated genomic feature by RNAseq alignments The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: inserted 6 bases in 4 codons; deleted 3 bases in 2 codons; substituted 4 bases at 4 genomic stop codons
XM_049784443.1	                     Suncus etruscus	Yes	Yes	No		33.95	sterile alpha motif domain containing 9; The sequence of the model RefSeq transcript was modified relative to its source genomic sequence to represent the inferred CDS: inserted 12 bases in 12 codons; deleted 14 bases in 14 codons; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 5 Proteins The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: inserted 12 bases in 12 codons; deleted 14 bases in 14 codons; substituted 3 bases at 3 genomic stop codons
