XM_031949317.1	225-228	FS_DEL	-1	yes
XM_031949317.1	481-481	A	T	yes
XM_031949317.1	483-483	G	A	yes
XM_031949317.1	830-830	C	G	yes
XM_031949317.1	831-831	T	A	yes
XM_031949317.1	909-912	FS_INS	+7	No
XM_031949317.1	960-963	FS_INS	+1	No
XM_031949317.1	990-993	FS_INS	+1	No
XM_031949317.1	991-991	G	T	yes
XM_031949317.1	993-993	C	A	yes
XM_031949317.1	1023-1026	FS_INS	+1	No
XM_031949317.1	1024-1024	C	T	yes
XM_031949317.1	1025-1025	C	G	yes
XM_031949317.1	1050-1053	FS_INS	+2	No
XM_031949317.1	1065-1068	FS_DEL	-1	No
XM_031949317.1	1203-1206	FS_INS	+1	No
