target_id	length	eff_length	est_counts	tpm
LOC100919053-XP_023354218.1	2184	1921.08	427.862	7.10772
LOC100919053-XP_031807022.1	2058	1795.08	0	0
LOC116420914-XP_031805011.1	1593	1330.08	41.6092	0.998353
LOC105749646-XP_031805012.1	1578	1315.08	8.095	0.196443
LOC100918791-XP_031807025.1	2166	1903.08	46.8052	0.784892
LOC116421482-XP_031807034.1	1059	796.078	15.4921	0.62105
LOC100922713-XP_031807030.1	1872	1609.08	239.102	4.74218
LOC111718993-XP_031805013.1	951	688.105	14.0108	0.649803
LOC100913756-XP_031807044.1	1467	1204.08	3.07318	0.0814526
LOC105749010-XP_031805014.1	2418	2155.08	13.2103	0.195623
LOC105749000-XP_031807053.1	1365	1102.08	9.55924	0.276811
NUF2-XP_023354161.1	1383	1120.08	48.5	1.38186
NUF2-XP_031807063.1	1383	1120.08	48.5	1.38186
NUF2-XP_031807069.1	1383	1120.08	48.5	1.38186
NUF2-XP_003762728.1	1383	1120.08	48.5	1.38186
LOC111719491-XP_031805015.1	1551	1288.08	4.095	0.101457
CHP2-XP_031807085.1	588	327.902	20.905	2.0346
BET1-XP_031807107.1	351	112.136	220	62.6111
LOC116421488-XP_031807092.1	1320	1057.08	86	2.59635
LOC100920799-XP_023354436.1	222	39.8156	301.638	241.771
LOC100920799-XP_031807137.1	222	39.8156	301.638	241.771
LOC100920799-XP_012399608.1	222	39.8156	301.638	241.771
LOC100920799-XP_031807117.1	252	45.8969	32.0866	22.3107
GNGT1-XP_003763123.1	225	40.9239	20	15.5964
TFPI2-XP_031805017.1	1227	964.078	1164	38.5312
CALCR-[transl_except=(pos:1132..1134,aa:Other)	1404	1141.08	2	0.0559354
LOC116420915-XP_031805018.1	597	336.613	3	0.284421
VPS50-[exception=unclassified-translation-discrepancy	2697	2434.08	1659	21.7512
HEPACAM2-XP_031805020.1	1176	913.078	31	1.08349
UBP1-XP_031807200.1	1557	1294.08	24.4192	0.602203
UBP1-XP_031807193.1	1578	1315.08	99.2346	2.40815
UBP1-XP_031807183.1	1665	1402.08	0	0
UBP1-XP_031807166.1	1686	1423.08	0	0
UBP1-XP_031807177.1	1668	1405.08	42.246	0.959528
UBP1-XP_031807161.1	1686	1423.08	74.0663	1.66098
UBP1-XP_031807156.1	1689	1426.08	8.80651	0.197076
UBP1-XP_031807188.1	1584	1321.08	0	0
UBP1-XP_031807206.1	1425	1162.08	169.614	4.65798
UBP1-XP_031807214.1	1425	1162.08	169.614	4.65798
CLASP2-XP_031805021.1	5196	4933.08	2458	15.9014
PDCD6IP-XP_031807222.1	2634	2371.08	4777	64.2956
LOC116420917-XP_031805022.1	1497	1234.08	207	5.35303
ARPP21-XP_031807240.1	2508	2245.08	0	0
ARPP21-XP_031807287.1	2508	2245.08	0	0
