Test	LRT	p-value	K
Antechinus_flavipes	0.1983698930453102	0.6560398511915472	0.7487702328218294
Dasyurus_viverrinus	0.001585648798936745	0.9682364670198526	1.046462016530454
Dromiciops_gliroides	0.5903306655764027	0.4422912809194077	1.190956009880077
Gracilinanus_agilis	0.1674074258207838	0.6824262640153749	0.6242107769819571
Lagorchestes_hirsutus	0.01474942457207362	0.9033368262192419	1.090677756769725
Macropus_fuliginosus	-0.0001805644387786742	1	0.9250552633364546
Macropus_giganteus	0.5483688148851797	0.458984962507761	0.1673443203884818
Macrotis_lagotis	0.1789298539260926	0.6722945246481924	1.089967608057231
Monodelphis_domestica	2.937320787215867	0.08655418968393513	0.5675361492974921
Myrmecobius_fasciatus	0.0005273770202620653	0.9816784382347595	1.020282483898832
Notamacropus_eugenii	0.05379034158249851	0.8165943645547502	0.6578730441763613
Phalanger_gymnotis	1.324684664781671	0.2497530273616324	2.158109949348225
Potorous_gilbertii	0.01834773875270912	0.892253069897431	0.9298798256914946
Pseudocheirus_occidentalis	2.438121173063337	0.1184179846530701	0.417299083733089
Pseudochirops_corinnae	1.171325561359481	0.2791290407425271	2.526870809472524
Pseudochirops_cupreus	3.776115512366232	0.05198922386072813	0
Sarcophilus_harrisii	0.5044477727442427	0.4775523016417368	0.1905728266773166
Sminthopsis_crassicaudata	0.5341697428029875	0.4648590692297295	0.7038611366814914
Thylacinus_cynocephalus	0.4288488243910251	0.5125543538557953	0.6769103371105488
Trichosurus_vulpecula	0.1496837130744098	0.6988377968130745	0.7586971043374218
Vombatus_ursinus	0.3790141834306269	0.5381313014461401	1.178455676100379
