target_id	length	eff_length	est_counts	tpm
DUN_000001-T1	1942	1759.96	0	0
DUN_000002-T1	200	55.6365	0	0
DUN_000003-T1	420	241.8	0	0
DUN_000004-T1	158	30.9032	0	0
DUN_000005-T1	365	189.728	0	0
DUN_000006-T1	435	256.289	47.928	5.04052
DUN_000007-T1	189	48.7334	82	45.3526
DUN_000008-T1	73	26.8562	0	0
DUN_000009-T1	387	210.351	2	0.256272
DUN_000010-T1	234	79.0737	0	0
DUN_000011-T1	79	29.5886	1.12472	1.02455
DUN_000012-T1	828	646.092	62.3151	2.59964
DUN_000013-T1	162	33.0924	0	0
DUN_000014-T1	774	592.148	20	0.910363
DUN_000015-T1	636	454.513	0	0
DUN_000016-T1	162	33.0924	108	87.9651
DUN_000017-T1	276	111.543	0	0
DUN_000018-T1	79	29.5886	0	0
DUN_000019-T1	197	53.7097	0	0
DUN_000020-T1	73	26.8562	0	0
DUN_000021-T1	73	26.8562	0	0
DUN_000022-T1	79	29.5886	0	0
DUN_000023-T1	416	237.944	0	0
DUN_000024-T1	2670	2487.96	1167	12.6428
DUN_000025-T1	3249	3066.96	635	5.5806
DUN_000026-T1	543	362.23	5	0.372049
DUN_000027-T1	384	207.525	283	36.7562
DUN_000028-T1	291	123.997	0	0
DUN_000029-T1	714	532.254	0	0
DUN_000030-T1	85	31.4271	0	0
DUN_000031-T1	1113	930.956	133	3.85068
DUN_000032-T1	72	26.3815	0	0
DUN_000033-T1	79	29.5886	0	0
DUN_000034-T1	231	76.9034	3	1.05145
DUN_000035-T1	73	26.8562	2.32429	2.33271
DUN_000036-T1	73	26.8562	0	0
DUN_000037-T1	228	74.721	3	1.08217
DUN_000038-T1	73	26.8562	0	0
DUN_000039-T1	73	26.8562	0	0
DUN_000040-T1	165	34.6922	5	3.88466
DUN_000041-T1	78	29.1042	0	0
DUN_000042-T1	228	74.721	0	0
DUN_000043-T1	378	201.889	0	0
DUN_000044-T1	240	83.4608	2	0.645895
DUN_000045-T1	74	27.6206	0	0
DUN_000046-T1	73	26.8562	0	0
DUN_000047-T1	1071	888.956	2	0.0606408
DUN_000048-T1	73	26.8562	0	0
DUN_000049-T1	73	26.8562	0	0
DUN_000050-T1	73	26.8562	16	16.058
DUN_000051-T1	2898	2715.96	1818	18.0421
DUN_000052-T1	243	85.6998	75	23.5883
DUN_000053-T1	255	94.8825	0	0
DUN_000054-T1	73	26.8562	0	0
DUN_000055-T1	79	29.5886	0	0
DUN_000056-T1	73	26.8562	0	0
DUN_000057-T1	73	26.8562	0	0
DUN_000058-T1	1383	1200.96	10	0.224434
DUN_000059-T1	79	29.5886	0	0
DUN_000060-T1	411	233.153	439	50.7502
DUN_000061-T1	957	774.978	808	28.102
DUN_000062-T1	330	157.844	27	4.61052
DUN_000063-T1	1545	1362.96	905	17.8971
DUN_000064-T1	279	114.023	0	0
DUN_000065-T1	960	777.978	0	0
DUN_000066-T1	582	400.848	0	0
DUN_000067-T1	294	126.515	0	0
DUN_000068-T1	246	87.9958	0	0
DUN_000069-T1	79	29.5886	0	0
DUN_000070-T1	240	83.4608	0	0
DUN_000071-T1	1116	933.956	636	18.3546
DUN_000072-T1	73	26.8562	0	0
DUN_000073-T1	73	26.8562	0	0
DUN_000074-T1	237	81.2341	114	37.8252
DUN_000075-T1	204	58.2472	642	297.081
DUN_000076-T1	693	511.314	35	1.845
DUN_000077-T1	80	29.9615	0	0
