	query_id	query_length	hit_id	query_HSP_range_limits_original	query_HSP_range_limits_trimmed	query_HSPFragment_ranges	hit_percent_similarity_original	hit_percent_similarity_trimmed	hit_strand	hit_HSP_range_limits_original	hit_HSP_range_limits_trimmed	hit_HSPFragment_ranges_original	hit_HSPFragment_ranges_trimmed	3-prime_bases_trimmed
Hits filtered > 55 percent similarity	Sarcophilus_harrisii-XM_003774506.4	301	NODE_7_length_765_cov_6.219477	(0, 70)	(0, 70)	[(0, 70)]	97.14	97.14	-1	(337, 547)	(337, 547)	[(337, 547)]	[(337, 547)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_8_length_726_cov_4.583975	(0, 70)	(5, 70)	[(0, 70)]	78.57	83.08	-1	(372, 582)	(387, 582)	[(372, 582)]	[(387, 582)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_6_length_767_cov_3.923188	(69, 107)	(69, 107)	[(69, 107)]	97.37	97.37	-1	(259, 373)	(259, 373)	[(259, 373)]	[(259, 373)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_2_length_967_cov_4.629213	(102, 152)	(102, 150)	[(102, 152)]	94.0	97.92	1	(411, 561)	(411, 555)	[(411, 561)]	[(411, 555)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_3_length_915_cov_4.539379	(148, 185)	(148, 185)	[(148, 185)]	97.3	97.30	-1	(369, 480)	(369, 480)	[(369, 480)]	[(369, 480)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_4_length_883_cov_4.249380	(181, 232)	(186, 232)	[(181, 232)]	88.24	95.65	1	(420, 573)	(435, 573)	[(420, 573)]	[(435, 573)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_1_length_1130_cov_5.360874	(229, 271)	(229, 271)	[(229, 271)]	92.86	92.86	-1	(390, 516)	(390, 516)	[(390, 516)]	[(390, 516)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_9_length_407_cov_5.600000	(231, 271)	(234, 271)	[(231, 271)]	57.5	59.46	1	(206, 326)	(215, 326)	[(206, 326)]	[(215, 326)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_5_length_781_cov_3.970170	(270, 301)	(270, 301)	[(270, 301)]	87.1	87.10	1	(427, 520)	(427, 520)	[(427, 520)]	[(427, 520)]	N/A
Hits with subsumed hits removed	Sarcophilus_harrisii-XM_003774506.4	301	NODE_7_length_765_cov_6.219477	(0, 70)	(0, 70)	[(0, 70)]	97.14	97.14	-1	(337, 547)	(337, 547)	[(337, 547)]	[(337, 547)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_6_length_767_cov_3.923188	(69, 107)	(69, 107)	[(69, 107)]	97.37	97.37	-1	(259, 373)	(259, 373)	[(259, 373)]	[(259, 373)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_2_length_967_cov_4.629213	(102, 152)	(102, 150)	[(102, 152)]	94.0	97.92	1	(411, 561)	(411, 555)	[(411, 561)]	[(411, 555)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_3_length_915_cov_4.539379	(148, 185)	(148, 185)	[(148, 185)]	97.3	97.30	-1	(369, 480)	(369, 480)	[(369, 480)]	[(369, 480)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_4_length_883_cov_4.249380	(181, 232)	(186, 232)	[(181, 232)]	88.24	95.65	1	(420, 573)	(435, 573)	[(420, 573)]	[(435, 573)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_1_length_1130_cov_5.360874	(229, 271)	(229, 271)	[(229, 271)]	92.86	92.86	-1	(390, 516)	(390, 516)	[(390, 516)]	[(390, 516)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_5_length_781_cov_3.970170	(270, 301)	(270, 301)	[(270, 301)]	87.1	87.10	1	(427, 520)	(427, 520)	[(427, 520)]	[(427, 520)]	N/A
Hits with subsumed hits removed and trimmed	Sarcophilus_harrisii-XM_003774506.4	301	NODE_7_length_765_cov_6.219477	(0, 70)	(0, 70)	[(0, 70)]	97.14	97.14	-1	(337, 547)	(337, 547)	[(337, 547)]	[(337, 547)]	3
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_6_length_767_cov_3.923188	(69, 107)	(69, 107)	[(69, 107)]	97.37	97.37	-1	(259, 373)	(259, 373)	[(259, 373)]	[(259, 373)]	15
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_2_length_967_cov_4.629213	(102, 152)	(102, 150)	[(102, 152)]	94.0	97.92	1	(411, 561)	(411, 555)	[(411, 561)]	[(411, 555)]	6
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_3_length_915_cov_4.539379	(148, 185)	(148, 185)	[(148, 185)]	97.3	97.30	-1	(369, 480)	(369, 480)	[(369, 480)]	[(369, 480)]	N/A
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_4_length_883_cov_4.249380	(181, 232)	(186, 232)	[(181, 232)]	88.24	95.65	1	(420, 573)	(435, 573)	[(420, 573)]	[(435, 573)]	9
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_1_length_1130_cov_5.360874	(229, 271)	(229, 271)	[(229, 271)]	92.86	92.86	-1	(390, 516)	(390, 516)	[(390, 516)]	[(390, 516)]	3
	Sarcophilus_harrisii-XM_003774506.4	301	NODE_5_length_781_cov_3.970170	(270, 301)	(270, 301)	[(270, 301)]	87.1	87.10	1	(427, 520)	(427, 520)	[(427, 520)]	[(427, 520)]	N/A
