	query_id	query_length	hit_id	query_HSP_range_limits_original	query_HSP_range_limits_trimmed	query_HSPFragment_ranges	hit_percent_similarity_original	hit_percent_similarity_trimmed	hit_strand	hit_HSP_range_limits_original	hit_HSP_range_limits_trimmed	hit_HSPFragment_ranges_original	hit_HSPFragment_ranges_trimmed	3-prime_bases_trimmed
Hits filtered > 55 percent similarity	Sarcophilus_harrisii-XM_003755291.4	615	NODE_3_length_599_cov_4.091954	(23, 85)	(23, 85)	[(23, 67), (67, 85)]	69.35	69.35	-1	(215, 400)	(215, 400)	[(271, 400), (215, 269)]	[(271, 400), (215, 269)]	N/A
	Sarcophilus_harrisii-XM_003755291.4	615	NODE_6_length_404_cov_8.116208	(94, 156)	(94, 155)	[(94, 156)]	88.71	90.16	-1	(130, 316)	(130, 313)	[(130, 316)]	[(130, 313)]	N/A
	Sarcophilus_harrisii-XM_003755291.4	615	NODE_5_length_548_cov_4.346072	(207, 276)	(207, 273)	[(207, 276)]	78.26	81.82	-1	(290, 497)	(290, 488)	[(290, 497)]	[(290, 488)]	N/A
	Sarcophilus_harrisii-XM_003755291.4	615	NODE_4_length_598_cov_4.834933	(275, 309)	(278, 309)	[(275, 309)]	85.29	93.55	-1	(153, 255)	(162, 255)	[(153, 255)]	[(162, 255)]	N/A
	Sarcophilus_harrisii-XM_003755291.4	615	NODE_1_length_730_cov_3.924962	(554, 613)	(556, 613)	[(554, 613)]	88.14	91.23	1	(242, 419)	(248, 419)	[(242, 419)]	[(248, 419)]	N/A
	Sarcophilus_harrisii-XM_003755291.4	615	NODE_2_length_713_cov_5.328616	(557, 615)	(557, 615)	[(557, 615)]	58.62	58.62	1	(252, 417)	(252, 417)	[(252, 417)]	[(252, 417)]	N/A
Hits with subsumed hits removed	Sarcophilus_harrisii-XM_003755291.4	615	NODE_3_length_599_cov_4.091954	(23, 85)	(23, 85)	[(23, 67), (67, 85)]	69.35	69.35	-1	(215, 400)	(215, 400)	[(271, 400), (215, 269)]	[(271, 400), (215, 269)]	N/A
	Sarcophilus_harrisii-XM_003755291.4	615	NODE_6_length_404_cov_8.116208	(94, 156)	(94, 155)	[(94, 156)]	88.71	90.16	-1	(130, 316)	(130, 313)	[(130, 316)]	[(130, 313)]	N/A
	Sarcophilus_harrisii-XM_003755291.4	615	NODE_5_length_548_cov_4.346072	(207, 276)	(207, 273)	[(207, 276)]	78.26	81.82	-1	(290, 497)	(290, 488)	[(290, 497)]	[(290, 488)]	N/A
	Sarcophilus_harrisii-XM_003755291.4	615	NODE_4_length_598_cov_4.834933	(275, 309)	(278, 309)	[(275, 309)]	85.29	93.55	-1	(153, 255)	(162, 255)	[(153, 255)]	[(162, 255)]	N/A
	Sarcophilus_harrisii-XM_003755291.4	615	NODE_1_length_730_cov_3.924962	(554, 613)	(556, 613)	[(554, 613)]	88.14	91.23	1	(242, 419)	(248, 419)	[(242, 419)]	[(248, 419)]	N/A
	Sarcophilus_harrisii-XM_003755291.4	615	NODE_2_length_713_cov_5.328616	(557, 615)	(557, 615)	[(557, 615)]	58.62	58.62	1	(252, 417)	(252, 417)	[(252, 417)]	[(252, 417)]	N/A
Hits with subsumed hits removed and trimmed	Sarcophilus_harrisii-XM_003755291.4	615	NODE_3_length_599_cov_4.091954	(23, 85)	(23, 85)	[(23, 67), (67, 85)]	69.35	69.35	-1	(215, 400)	(215, 400)	[(271, 400), (215, 269)]	[(271, 400), (215, 269)]	N/A
	Sarcophilus_harrisii-XM_003755291.4	615	NODE_6_length_404_cov_8.116208	(94, 156)	(94, 155)	[(94, 156)]	88.71	90.16	-1	(130, 316)	(130, 313)	[(130, 316)]	[(130, 313)]	N/A
	Sarcophilus_harrisii-XM_003755291.4	615	NODE_5_length_548_cov_4.346072	(207, 276)	(207, 273)	[(207, 276)]	78.26	81.82	-1	(290, 497)	(290, 488)	[(290, 497)]	[(290, 488)]	N/A
	Sarcophilus_harrisii-XM_003755291.4	615	NODE_4_length_598_cov_4.834933	(275, 309)	(278, 309)	[(275, 309)]	85.29	93.55	-1	(153, 255)	(162, 255)	[(153, 255)]	[(162, 255)]	N/A
	Sarcophilus_harrisii-XM_003755291.4	615	NODE_1_length_730_cov_3.924962	(554, 613)	(556, 613)	[(554, 613)]	88.14	91.23	1	(242, 419)	(248, 419)	[(242, 419)]	[(248, 419)]	168
	Sarcophilus_harrisii-XM_003755291.4	615	NODE_2_length_713_cov_5.328616	(557, 615)	(557, 615)	[(557, 615)]	58.62	58.62	1	(252, 417)	(252, 417)	[(252, 417)]	[(252, 417)]	N/A
