Species_name	dN	dS	omega
Antechinus_flavipes	0.008556	0.038336	0.223184
Dasyurus_viverrinus	0.004955	0.012069	0.410556
Dromiciops_gliroides	0.041301	0.126002	0.327781
Gracilinanus_agilis	0.016503	0.046765	0.352892
Lagorchestes_hirsutus	0.007148	0.029079	0.245813
Macropus_fuliginosus	0.002223	0.003275	0.678779
Macropus_giganteus	0.002967	0.003047	0.973745
Macrotis_lagotis	0.044060	0.155101	0.284073
Monodelphis_domestica	0.021704	0.051477	0.421625
Myrmecobius_fasciatus	0.011891	0.043937	0.270638
Notamacropus_eugenii	0.007550	0.009436	0.800127
Phalanger_gymnotis	0.018902	0.037520	0.503785
Potorous_gilbertii	0.011343	0.033332	0.340304
Pseudocheirus_occidentalis	0.015455	0.048522	0.318515
Pseudochirops_corinnae	0.003396	0.014658	0.231682
Pseudochirops_cupreus	0.005044	0.010773	0.468208
Sarcophilus_harrisii	0.002433	0.007469	0.325746
Sminthopsis_crassicaudata	0.016595	0.036336	0.45671
Thylacinus_cynocephalus	0.027347	0.042211	0.647864
Trichosurus_vulpecula	0.010114	0.029605	0.341631
Vombatus_ursinus	0.027708	0.090777	0.305232
