# klumpy scan_alignments --alignment_map packbio_merged.sorted.bam --threads 32
Region_Number	Reference_Seq	Start	End	Number_of_Groups
1	NC_056661.1	0	50000	13
2	NC_056661.1	225000	300000	3,2
3	NC_056661.1	525000	600000	3,3
4	NC_056661.1	625000	700000	3,2
5	NC_056661.1	1050000	1125000	2,2
6	NC_056661.1	1650000	1725000	3,4
7	NC_056661.1	1825000	1900000	3,3
8	NC_056661.1	1975000	2075000	5,8,7
9	NC_056661.1	2350000	2425000	3,3
10	NC_056661.1	2925000	3000000	3,2
11	NC_056661.1	3325000	3400000	3,2
12	NC_056661.1	3600000	3700000	3,3,2
13	NC_056661.1	4475000	4550000	3,3
14	NC_056661.1	4825000	4875000	3
15	NC_056661.1	5350000	5425000	3,3
16	NC_056661.1	5575000	5800000	2,3,4,5,6,2,3,3
17	NC_056661.1	5975000	6050000	3,3
18	NC_056661.1	6450000	6525000	3,2
19	NC_056661.1	6750000	6900000	2,3,3,4,3
20	NC_056661.1	7000000	7125000	1,2,2,3
21	NC_056661.1	7325000	7450000	7,4,3,4
22	NC_056661.1	8100000	8175000	3,3
23	NC_056661.1	8675000	8725000	3
24	NC_056661.1	8850000	8975000	3,3,4,2
25	NC_056661.1	9625000	9700000	3,3
26	NC_056661.1	10350000	10425000	3,3
27	NC_056661.1	10900000	10975000	3,3
28	NC_056661.1	11225000	11300000	12,3
29	NC_056661.1	11700000	11775000	3,2
30	NC_056661.1	12150000	12225000	3,3
31	NC_056661.1	12300000	12375000	3,3
32	NC_056661.1	12475000	12550000	3,3
33	NC_056661.1	13275000	13350000	3,3
34	NC_056661.1	13500000	13750000	3,3,3,3,2,2,2
35	NC_056661.1	14300000	14375000	3,3
36	NC_056661.1	14900000	14975000	3,3
37	NC_056661.1	15875000	16000000	2,2,3,3
38	NC_056661.1	16125000	16200000	3,3
39	NC_056661.1	16825000	16900000	3,3
40	NC_056661.1	17525000	17725000	2,3,3,3,3,3
41	NC_056661.1	17875000	17950000	3,3
42	NC_056661.1	17975000	18050000	3,3
43	NC_056661.1	23250000	23325000	3,3
44	NC_056661.1	27825000	27900000	3,3
45	NC_056661.1	28000000	28075000	3,3
46	NC_056661.1	30450000	30525000	3,3
47	NC_056661.1	33100000	33175000	3,3
48	NC_056661.1	33575000	33650000	4,3
49	NC_056661.1	33900000	33975000	3,3
50	NC_056661.1	34325000	34400000	3,3
51	NC_056661.1	35125000	35225000	3,4,3
52	NC_056661.1	35650000	35725000	3,3
53	NC_056661.1	35775000	35825000	3
54	NC_056661.1	37450000	37525000	3,6
55	NC_056661.1	39500000	39575000	3,3
56	NC_056661.1	40800000	40875000	3,3
57	NC_056661.1	42850000	42950000	6,8,3
58	NC_056661.1	43075000	43150000	5,3
59	NC_056661.1	45700000	45775000	18,9
60	NC_056661.1	45950000	46025000	3,9
61	NC_056661.1	47375000	47425000	6
62	NC_056661.1	48100000	48175000	3,4
63	NC_056661.1	49600000	49675000	2,12
64	NC_056661.1	49700000	49800000	3,9,7
65	NC_056661.1	50225000	50300000	3,3
66	NC_056661.1	51000000	51100000	4,5,2
67	NC_056661.1	52325000	52400000	2,1
68	NC_056661.1	52500000	52575000	3,8
69	NC_056661.1	53500000	53575000	10,9
70	NC_056661.1	54625000	54700000	3,3
71	NC_056661.1	55375000	55450000	3,3
72	NC_056661.1	55500000	55575000	3,2
73	NC_056661.1	55825000	55900000	3,3
74	NC_056661.1	56075000	56150000	5,4
75	NC_056661.1	57875000	57975000	3,4,3
76	NC_056661.1	58750000	58850000	6,3,3
77	NC_056661.1	59900000	59975000	2,2
78	NC_056661.1	60100000	60175000	9,6
79	NC_056661.1	60575000	60650000	11,4
80	NC_056661.1	62150000	62300000	3,3,3,3
81	NC_056661.1	63200000	63275000	3,3
82	NC_056661.1	63575000	63650000	2,3
83	NC_056661.1	63825000	63950000	5,5,3,2
84	NC_056661.1	64025000	64100000	3,3
85	NC_056661.1	64525000	64600000	2,3
86	NC_056661.1	64875000	64950000	4,3
87	NC_056661.1	65250000	65325000	3,3
88	NC_056661.1	65900000	65975000	2,4
89	NC_056661.1	66200000	66475000	3,4,3,3,3,3,3,3
90	NC_056661.1	67025000	67100000	3,3
91	NC_056661.1	67575000	67650000	2,3
92	NC_056661.1	67775000	67850000	3,3
93	NC_056661.1	68100000	68175000	3,3
94	NC_056661.1	69325000	69400000	3,3
95	NC_056661.1	69775000	69850000	5,2
96	NC_056661.1	70450000	70525000	3,3
97	NC_056661.1	70950000	71025000	3,3
98	NC_056661.1	72050000	72125000	3,3
99	NC_056661.1	72350000	72450000	2,14,16
100	NC_056661.1	73125000	73200000	2,3
101	NC_056661.1	75175000	75250000	3,3
102	NC_056661.1	77175000	77275000	2,17,16
103	NC_056661.1	80800000	80875000	3,3
104	NC_056661.1	81000000	81075000	3,3
105	NC_056661.1	81400000	81475000	2,3
106	NC_056661.1	81825000	81900000	3,3
107	NC_056661.1	82050000	82125000	3,3
108	NC_056661.1	83075000	83150000	3,3
109	NC_056661.1	83425000	83575000	3,7,9,12
110	NC_056661.1	84725000	84800000	3,3
111	NC_056661.1	85575000	85650000	2,3
112	NC_056661.1	86200000	86275000	3,2
113	NC_056661.1	86600000	86675000	4,3
114	NC_056661.1	88100000	88175000	3,3
115	NC_056661.1	90625000	90700000	3,8
116	NC_056661.1	90725000	90800000	3,3
117	NC_056661.1	91700000	91750000	2
118	NC_056661.1	92575000	92650000	3,4
119	NC_056661.1	92950000	93025000	8,13
120	NC_056661.1	93500000	93575000	3,3
121	NC_056661.1	97950000	98025000	3,3
122	NC_056661.1	98400000	98475000	3,3
123	NC_056661.1	98650000	98725000	4,4
124	NC_056661.1	100925000	101025000	9,11,9
125	NC_056661.1	102150000	102250000	3,4,3
126	NC_056661.1	102500000	102575000	2,3
127	NC_056661.1	103000000	103075000	7,3
128	NC_056661.1	103375000	103450000	4,2
129	NC_056661.1	103700000	103775000	3,3
130	NC_056661.1	104075000	104150000	3,3
131	NC_056661.1	104200000	104275000	3,3
132	NC_056661.1	105100000	105325000	3,6,10,10,3,3
133	NC_056661.1	105775000	105850000	3,3
134	NC_056661.1	107400000	107475000	5,5
135	NC_056661.1	107525000	107600000	2,5
136	NC_056661.1	107650000	107700000	7
137	NC_056661.1	108475000	108550000	3,3
138	NC_056661.1	108750000	108825000	2,3
139	NC_056661.1	108925000	109000000	3,3
140	NC_056661.1	109200000	109275000	4,3
141	NC_056661.1	110425000	110500000	3,4
142	NC_056661.1	111350000	111425000	4,4
143	NC_056661.1	114250000	114325000	3,3
144	NC_056661.1	117100000	117175000	3,3
145	NC_056661.1	117275000	117350000	3,4
146	NC_056661.1	118000000	118125000	3,3,3,3
147	NC_056661.1	119825000	119900000	3,2
148	NC_056661.1	120225000	120300000	3,4
149	NC_056661.1	120550000	120600000	2
150	NC_056661.1	121125000	121200000	3,3
151	NC_056661.1	122375000	122450000	11,17
152	NC_056661.1	122575000	122700000	3,4,3,3
153	NC_056661.1	122950000	123025000	7,7
154	NC_056661.1	123125000	123200000	3,3
155	NC_056661.1	125650000	125725000	3,3
156	NC_056661.1	127425000	127525000	2,4,3
157	NC_056661.1	127550000	127625000	9,4
158	NC_056661.1	128825000	128925000	4,4,3
159	NC_056661.1	128950000	129050000	2,3,2
160	NC_056661.1	130000000	130075000	3,3
161	NC_056661.1	130825000	130925000	6,7,2
162	NC_056661.1	131700000	131850000	3,3,3,3
163	NC_056661.1	132475000	132550000	3,3
164	NC_056661.1	132700000	132775000	3,6
165	NC_056661.1	135100000	135175000	6,2
166	NC_056661.1	135225000	135300000	8,7
167	NC_056661.1	136975000	137050000	3,3
168	NC_056661.1	137275000	137350000	3,2
169	NC_056661.1	138300000	138400000	3,4,3
170	NC_056661.1	141175000	141250000	3,3
171	NC_056661.1	141300000	141375000	7,3
172	NC_056661.1	141900000	141975000	3,13
173	NC_056661.1	142500000	142575000	3,4
174	NC_056661.1	144025000	144100000	2,3
175	NC_056661.1	144275000	144350000	3,3
176	NC_056661.1	144725000	144800000	3,3
177	NC_056661.1	145025000	145100000	3,3
178	NC_056661.1	145725000	145800000	2,3
179	NC_056661.1	145950000	146075000	4,3,4,3
180	NC_056661.1	146650000	146725000	3,4
181	NC_056661.1	148375000	148450000	2,3
182	NC_056661.1	148625000	148700000	3,3
183	NC_056661.1	149150000	149225000	3,3
184	NC_056661.1	149700000	149775000	2,2
185	NC_056661.1	149950000	150025000	3,3
186	NC_056661.1	150150000	150250000	3,4,4
187	NC_056661.1	150525000	150600000	3,3
188	NC_056661.1	150825000	150900000	3,3
189	NC_056661.1	152225000	152300000	3,3
190	NC_056661.1	153000000	153075000	3,3
191	NC_056661.1	153325000	153400000	3,3
192	NC_056661.1	154175000	154325000	3,3,4,3
193	NC_056661.1	155075000	155150000	4,3
194	NC_056661.1	155850000	155925000	3,3
195	NC_056661.1	156175000	156250000	3,3
196	NC_056661.1	156675000	156750000	2,3
197	NC_056661.1	157200000	157275000	5,3
198	NC_056661.1	157475000	157550000	3,3
199	NC_056661.1	157900000	157950000	2
200	NC_056661.1	158000000	158075000	3,3
201	NC_056661.1	158275000	158375000	3,4,3
202	NC_056661.1	158600000	158675000	4,2
203	NC_056661.1	160500000	160575000	3,3
204	NC_056661.1	160950000	161025000	2,3
205	NC_056661.1	161475000	161550000	3,3
206	NC_056661.1	161675000	161750000	3,3
207	NC_056661.1	162300000	162450000	3,1,2,3,2
208	NC_056661.1	162775000	162850000	3,3
209	NC_056661.1	162900000	162975000	3,3
210	NC_056661.1	163275000	163350000	3,3
211	NC_056661.1	163375000	163575000	3,3,3,3,3,3
212	NC_056661.1	163925000	164075000	3,3,3,3
213	NC_056661.1	164200000	164275000	3,3
214	NC_056661.1	164800000	164875000	2,2
215	NC_056661.1	164975000	165050000	2,3
216	NC_056661.1	165200000	165350000	2,2,2,4
217	NC_056661.1	165925000	166075000	3,4,3,2
218	NC_056661.1	166400000	166525000	3,3,3,3
219	NC_056661.1	166600000	166700000	4,4,3
220	NC_056661.1	167000000	167075000	2,3
221	NC_056661.1	167650000	167725000	3,3
222	NC_056661.1	167775000	167825000	2
