target_id	length	eff_length	est_counts	tpm
DUN_000001-T1	1942	1680.41	6	0.101826
DUN_000002-T1	200	31.2185	0	0
DUN_000003-T1	420	167.029	0	0
DUN_000004-T1	158	24.6605	0	0
DUN_000005-T1	365	116.9	0	0
DUN_000006-T1	435	181.067	1.12903	0.177824
DUN_000007-T1	189	29.675	3	2.88305
DUN_000008-T1	73	28.4685	0	0
DUN_000009-T1	387	136.565	2	0.417651
DUN_000010-T1	234	37.9343	0	0
DUN_000011-T1	79	24.7687	0	0
DUN_000012-T1	828	566.75	87.2008	4.38784
DUN_000013-T1	162	25.2821	0	0
DUN_000014-T1	774	512.978	82	4.55867
DUN_000015-T1	636	375.895	0	0
DUN_000016-T1	162	25.2821	68720	77516.1
DUN_000017-T1	276	52.6775	0	0
DUN_000018-T1	79	24.7687	0	0
DUN_000019-T1	197	30.7111	0	0
DUN_000020-T1	73	28.4685	0	0
DUN_000021-T1	73	28.4685	0	0
DUN_000022-T1	79	24.7687	0	0
DUN_000023-T1	416	163.295	0	0
DUN_000024-T1	2670	2408.41	4061	48.0866
DUN_000025-T1	3249	2987.41	650	6.20498
DUN_000026-T1	543	284.816	0	0
DUN_000027-T1	384	133.835	248	52.845
DUN_000028-T1	291	60.7064	0	0
DUN_000029-T1	714	453.233	0	0
DUN_000030-T1	85	24.1185	0	0
DUN_000031-T1	1113	851.415	0	0
DUN_000032-T1	72	29.6019	0	0
DUN_000033-T1	79	24.7687	0	0
DUN_000034-T1	231	37.1652	1	0.767337
DUN_000035-T1	73	28.4685	0.711644	0.712888
DUN_000036-T1	73	28.4685	0.144766	0.14502
DUN_000037-T1	228	36.52	0	0
DUN_000038-T1	73	28.4685	0	0
DUN_000039-T1	73	28.4685	4.06672	4.07383
DUN_000040-T1	165	25.9075	0	0
DUN_000041-T1	78	25.6959	0	0
DUN_000042-T1	228	36.52	0	0
DUN_000043-T1	378	128.443	0	0
DUN_000044-T1	240	39.4164	0	0
DUN_000045-T1	74	28.7193	0	0
DUN_000046-T1	73	28.4685	0	0
DUN_000047-T1	1071	809.415	7	0.246632
DUN_000048-T1	73	28.4685	0	0
DUN_000049-T1	73	28.4685	0	0
DUN_000050-T1	73	28.4685	2	2.0035
DUN_000051-T1	2898	2636.41	4072	44.047
DUN_000052-T1	243	40.1353	68	48.3176
DUN_000053-T1	255	43.8615	0	0
DUN_000054-T1	73	28.4685	0	0
DUN_000055-T1	79	24.7687	0	0
DUN_000056-T1	73	28.4685	0	0
DUN_000057-T1	73	28.4685	0	0
DUN_000058-T1	1383	1121.41	116	2.94995
DUN_000059-T1	79	24.7687	0	0
DUN_000060-T1	411	158.623	132	23.7317
DUN_000061-T1	957	695.45	570	23.3739
DUN_000062-T1	330	87.7968	126	40.9274
DUN_000063-T1	1545	1283.41	3250	72.2169
DUN_000064-T1	279	54.1835	0	0
DUN_000065-T1	960	698.45	0	0
DUN_000066-T1	582	322.862	0	0
DUN_000067-T1	294	62.4706	0	0
DUN_000068-T1	246	41.0583	0	0
DUN_000069-T1	79	24.7687	0	0
DUN_000070-T1	240	39.4164	0	0
DUN_000071-T1	1116	854.415	254	8.47788
DUN_000072-T1	73	28.4685	0	0
DUN_000073-T1	73	28.4685	0	0
DUN_000074-T1	237	38.7063	6	4.42071
DUN_000075-T1	204	31.9936	575	512.539
DUN_000076-T1	693	432.343	28	1.84694
DUN_000077-T1	80	25.0182	0	0
DUN_000078-T1	1143	881.415	132	4.27087
DUN_000079-T1	388	137.454	6	1.24484
DUN_000080-T1	190	29.7896	2	1.91464
DUN_000081-T1	4221	3959.41	2504	18.0354
DUN_000082-T1	1467	1205.41	596	14.1004
DUN_000083-T1	4338	4076.41	41	0.286832
DUN_000084-T1	77	27.6894	0	0
