target_id	length	eff_length	est_counts	tpm
DUN_000001-T1	1942	1677	0	0
DUN_000002-T1	200	32.1689	0	0
DUN_000003-T1	420	163.579	0	0
DUN_000004-T1	158	25.8634	0	0
DUN_000005-T1	365	113.471	0	0
DUN_000006-T1	435	177.572	15.7313	3.33886
DUN_000007-T1	189	30.7499	16	19.6102
DUN_000008-T1	73	30.4859	0	0
DUN_000009-T1	387	133.131	5	1.41545
DUN_000010-T1	234	38.0875	0	0
DUN_000011-T1	79	31.2905	3.05527	3.67997
DUN_000012-T1	828	563.395	31.0731	2.07863
DUN_000013-T1	162	26.5873	1	1.41753
DUN_000014-T1	774	509.648	169.514	12.5355
DUN_000015-T1	636	372.817	2	0.202181
DUN_000016-T1	162	26.5873	33551	47559.5
DUN_000017-T1	276	51.4327	0	0
DUN_000018-T1	79	31.2905	0	0
DUN_000019-T1	197	31.7257	0	0
DUN_000020-T1	73	30.4859	0	0
DUN_000021-T1	73	30.4859	0	0
DUN_000022-T1	79	31.2905	0	0
DUN_000023-T1	416	159.82	0	0
DUN_000024-T1	2670	2405	1716	26.8911
DUN_000025-T1	3249	2984	747	9.43469
DUN_000026-T1	543	281.44	0	0
DUN_000027-T1	384	130.429	158	45.655
DUN_000028-T1	291	58.8979	0	0
DUN_000029-T1	714	450.036	0	0
DUN_000030-T1	85	29.5609	0	0
DUN_000031-T1	1113	848.003	13	0.577766
DUN_000032-T1	72	29.9943	0	0
DUN_000033-T1	79	31.2905	0	0
DUN_000034-T1	231	37.3984	7	7.05425
DUN_000035-T1	73	30.4859	0	0
DUN_000036-T1	73	30.4859	0	0
DUN_000037-T1	228	36.7923	7	7.17046
DUN_000038-T1	73	30.4859	0	0
DUN_000039-T1	73	30.4859	3.27204e-05	4.04507e-05
DUN_000040-T1	165	27.1031	2	2.78111
DUN_000041-T1	78	30.7295	0	0
DUN_000042-T1	228	36.7923	0	0
DUN_000043-T1	378	125.021	1	0.301456
DUN_000044-T1	240	39.3764	14	13.3998
DUN_000045-T1	74	30.8122	0	0
DUN_000046-T1	73	30.4859	0	0
DUN_000047-T1	1071	806.003	145	6.78012
DUN_000048-T1	73	30.4859	0	0
DUN_000049-T1	73	30.4859	0	0
DUN_000050-T1	73	30.4859	7.27747	8.9968
DUN_000051-T1	2898	2633	678	9.70475
DUN_000052-T1	243	40.0727	5	4.70249
DUN_000053-T1	255	43.4956	0	0
DUN_000054-T1	73	30.4859	0	0
DUN_000055-T1	79	31.2905	0	0
DUN_000056-T1	73	30.4859	0	0
DUN_000057-T1	73	30.4859	0	0
DUN_000058-T1	1383	1118	28	0.94389
DUN_000059-T1	79	31.2905	0.13961	0.168156
DUN_000060-T1	411	155.178	146	35.4593
DUN_000061-T1	957	692.028	819	44.6032
DUN_000062-T1	330	84.7594	173	76.9245
DUN_000063-T1	1545	1280	2181	64.2171
DUN_000064-T1	279	52.8542	0	0
DUN_000065-T1	960	695.014	0	0
DUN_000066-T1	582	319.658	0	0
DUN_000067-T1	294	60.5854	0	0
DUN_000068-T1	246	40.852	0	0
DUN_000069-T1	79	31.2905	0	0
